"","id","group","author_sign","author_full_name","title","city","printing_h","year","pages","size","nlr_1","rsl","roz_1","us_harvard","cz_slk","lt_vul","pl_bn","pl_buw","ee_ester","fi_sl","n_total"
"1",1,"sep_nar","Артемьев П.","Артемьев Павел Алексеевич","Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","М.","Селивановского",1834,30,20,1,1,1,0,0,0,0,0,0,0,3
"2",5,"col_lyr","Батюшков К.","Батюшков Константин Николаевич","Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","СПб.","И. Глазунова",1834,270,22,1,1,1,1,1,0,1,1,1,1,9
"3",6,"sep_nar","Александр Б.","Боде Александр Карлович","Милана : Русская баллада, или Старые погудки на новый лад","СПб.","Крайя",1834,22,24,1,0,1,1,1,0,0,0,0,0,4
"4",7,"col_lyr","Бороздна И.","Бороздна Иван Петрович","Лира / [Соч.] Ивана Бороздны","М.","А. Семена",1834,79,22,1,1,1,0,0,0,0,0,0,1,4
"5",8,"sep_nar","П. Ершов","Ершов Петр Павлович","Конек-горбунок. Русская сказка","СПб.","Гинце",1834,122,19,1,1,1,1,0,0,0,0,1,0,5
"6",9,"sep_nar","Карцов Н.",NA,"Семейство Комариных : Роман в стихах","М.","А. Семена",1834,35,24,1,1,1,0,1,0,0,0,0,0,4
"7",10,"sep_nar","Катенин П.","Катенин Павел Александрович","Княжна Милуша : Сказка [в стихах]","СПб.","Гинце",1834,159,23,1,1,1,0,0,0,0,0,0,1,4
"8",11,"col_lyr","Коптев А.","Коптев Алексей Алексеевич","Стихотворения","СПб.","Вингебера",1834,128,18,1,1,1,0,0,0,0,0,0,0,3
"9",12,"sep_drama","Н. К.","Кукольник Нестор Васильевич","Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","СПб.","вдовы Плюшар с сыном",1834,120,23,1,1,1,1,0,0,0,0,0,1,5
"10",13,"sep_nar","Марков П.; Соколовский В.","Марков П.; Соколовский Владимир Игнатьевич","Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","М.","Лазаревых",1834,67,17,1,0,0,0,0,0,0,0,0,0,1
"11",14,"col_lyr","Пушкин В. Л.","Пушкин Василий Львович","Записки в стихах","М.","Ун. тип",1834,71,18,1,1,1,1,0,0,0,0,0,0,4
"12",15,"col_lyr","Слепушкин Ф.","Слепушкин Федор Никифорович","Новые досуги сельского жителя","СПб.","Гинце",1834,112,20,1,1,1,0,1,0,0,0,0,0,4
"13",16,"col_lyr","Суходольский А.","Суходольский А.","Стихотворения","М.","Селивановского",1834,88,22,1,0,1,0,0,0,0,0,0,1,3
"14",17,"sep_drama","Т-м-ф-в","Тимофеев Алексей Васильевич","Поэт: Фантазия в 3 сценах","СПб.","Гинце",1834,64,21,1,0,1,0,0,0,0,0,0,0,2
"15",18,"col_lyr","Цыганов Н.","Цыганов Николай Григорьевич","Русские песни","М.","Селивановского",1834,68,18,1,1,1,0,0,0,0,0,0,0,3
"16",19,"sep_nar","А… Ч…","Чуровский Александр Иванович","Дворянские выборы, характеристическая картина : В 4 гл.","М.","Пономарева",1834,28,20,1,1,1,0,0,0,0,0,0,0,3
"17",20,"col_lyr",NA,NA,"Гортензии: [Стихотворения]","М.","Селивановского",1834,48,20,1,0,1,0,0,0,0,0,0,0,2
"18",21,"sep_nar","Касьян Русский",NA,"Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","М.","Пономарева",1834,44,19,1,1,1,0,0,0,0,0,0,0,3
"19",22,"col_lyr",NA,NA,"Дитя поэзии : [Стихотворения]","Казань","Ун. тип",1834,15,21,1,1,1,1,1,0,0,0,0,1,6
"20",23,"sep_nar","И. Р.","Радожицкий Илья Тимофеевич","Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","М.","Ун. тип",1834,254,23,1,1,1,0,0,0,1,0,0,0,4
"21",24,"col_lyr","Линдфорс Н.","Линдфорс Николай Федорович","Стихотворения","СПб.","Штаба отд. корп. внутр. стражи",1834,144,15,1,1,0,1,0,0,0,0,0,0,3
"22",25,"sep_nar",NA,NA,"Сирота: Повесть [в стихах]","М.","Степанова",1834,40,13,1,0,0,0,1,0,0,0,0,0,2
"23",26,"col_lyr","Фукс А.","Фукс Александра Андреевна","Стихотворения","Казань","Ун. тип",1834,192,21,0,0,0,0,1,0,0,0,0,0,1
"24",27,"col_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","СПб.","Рос. Акад.",1834,278,20,1,0,1,0,0,0,0,1,0,1,4
"25",28,"sep_nar","П. Л.",NA,"Любовь поэта: Повесть П. Л.","М.","Пономарева",1834,23,19,1,0,0,0,0,0,0,0,0,0,1
"26",29,"sep_nar","П. К.","Кукольник Павел Васильевич","Три года жизни. [Ч. 1] : Роман в стихах","Вильно","Гликсберга",1834,48,20,1,1,0,0,0,0,0,0,0,0,2
"27",32,"sep_lyr","Никонов В.","Никонов Валериан Яковлевич","Песнь русского : В 17 день апреля 1834 года","СПб.","Крайя",1834,8,NA,1,0,0,0,0,0,0,0,0,0,1
"28",33,"sep_lyr","Виноградов Н.","Виноградов Никанор","Куплеты, петые на Чернышенской суконной фабрике июня 1834 года, для Общества лихвинских дворян по случаю праздника, данного г-м Михайловым","М.","Ун. тип",1834,4,21,1,0,0,0,0,0,0,0,0,0,1
"29",34,"sep_lyr",NA,NA,"Стихи для польского, [на случай прибытия его сиятельства графа Михаила Семеновича Воронцова в Екатеринослав]","М.","Ун. тип",1834,4,NA,1,0,0,0,0,0,0,0,0,0,1
"30",35,"col_lyr","Т-м-ф-в","Тимофеев Алексей Васильевич","XII песен. Отд. 3","СПб.","Греча",1834,32,NA,1,1,0,0,0,0,0,0,0,0,2
"31",36,"sep_lyr","Бакунин В.","Бакунин Василий Михайлович","Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","СПб.","Греча",1834,8,23,1,1,0,0,1,0,0,0,0,0,3
"32",37,"sep_lyr","Козлов И.","Козлов Иван Иванович","Его Императорскому Высочеству Наследнику Цесаревичу и Великому Князю Александру Николаевичу, в день Его тезоименинства: Стихотворение [Соч. Козлова]","СПб.",NA,1834,7,NA,1,0,0,0,0,0,0,0,0,0,1
"33",38,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","СПб.","Рос. Акад.",1834,3,20,1,1,0,0,0,0,0,1,0,0,3
"34",39,"sep_lyr",NA,NA,"Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","М.","А. Семена",1834,16,20,1,1,0,0,0,0,0,0,0,0,2
"35",40,"sep_lyr",NA,NA,"Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","М.","А. Семена",1834,24,19,1,1,0,0,0,0,0,0,0,0,2
"36",41,"sep_lyr","Изрядный",NA,"Каламбур: Стихотворение Изрядного","М.","Пономарева",1834,35,17,1,1,0,0,0,0,0,0,0,0,2
"37",42,"col_lyr","Казимиров П.","Казимиров Петр","Стихотворения","М.","Степанова",1834,74,17,1,1,0,0,1,0,0,0,0,1,4
"38",43,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г","СПб.","Вингебера",1834,10,25,1,1,0,0,0,0,0,0,1,0,3
"39",44,"col_lyr","Орлов А.","Орлов Александр Анфимович","Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","М.","Пономарева",1834,31,13,1,1,0,0,0,0,0,0,0,0,2
"40",45,"col_lyr",NA,"Мятлев Иван Петрович","Собрание стихотворений","СПб.","вдовы Плюшар с сыном",1834,69,20,1,1,0,0,0,0,0,0,0,0,2
"41",46,"sep_lyr","Стромилов С.","Стромилов Семен Иванович<?>","Его императорскому высочеству, государю наследнику цесаревичу и великому князю Александру Николаевичу : Стихотворение С. Стромилова.","М.","Селивановского",1834,8,NA,1,0,0,0,0,0,0,0,0,0,1
"42",47,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","30 августа 1834 года : Стихотворение гр. Хвостова","СПб.","Вингебера",1834,8,21,1,1,0,0,0,0,0,0,0,0,2
"43",48,"sep_drama","Т-м-ф-в","Тимофеев Алексей Васильевич","Счастливец : Пять суток из част. жизни : [Пьеса]","СПб.","Мед. деп. М-ва вн. дел",1834,185,20,1,1,0,0,0,0,0,0,0,0,2
"44",49,"alm_","Фл… Спин..",NA,"Незабудка: Московский Альманах. Соч. Фл.... Спин....","М.","Лазаревых",1834,228,17,1,1,0,0,0,0,0,0,0,1,3
"45",50,"col_lyr","Мясоедов Гр.","Мясоедов Григорий Андреевич","Подарок друзьям, или Образчики из сочинений","М.","Ун. тип",1834,31,14,1,0,0,0,0,0,0,0,0,0,1
