"","work","collection"
"1","1834_43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","nlr"
"2","1834_43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","rsl"
"3","1834_43_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","fi_sl"
"4","1834_47_Максимович М._Денница: Альманах на 1834 год","nlr"
"5","1834_47_Максимович М._Денница: Альманах на 1834 год","fi_sl"
"6","1834_48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","nlr"
"7","1834_48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","rsl"
"8","1834_48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","cz_slk"
"9","1834_48_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","fi_sl"
"10","1834_49_NA_Досуги Марса: Литературные труды офицеров","rsl"
"11","1834_50_NA_Новоселье. Ч. 2","nlr"
"12","1834_50_NA_Новоселье. Ч. 2","rsl"
"13","1834_50_NA_Новоселье. Ч. 2","us_harvard"
"14","1834_50_NA_Новоселье. Ч. 2","cz_slk"
"15","1834_50_NA_Новоселье. Ч. 2","ee_ester"
"16","1834_51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","nlr"
"17","1834_51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","rsl"
"18","1834_51_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","fi_sl"
"19","1835_97_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","nlr"
"20","1835_97_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","rsl"
"21","1835_97_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","fi_sl"
"22","1835_97_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","spbgu"
"23","1835_98_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","nlr"
"24","1835_98_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","rsl"
"25","1835_98_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","ee_ester"
"26","1835_98_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","fi_sl"
"27","1836_133_NA_Маскерад. Подарок прекрасному полу на 1837 год","nlr"
"28","1836_133_NA_Маскерад. Подарок прекрасному полу на 1837 год","rsl"
"29","1836_133_NA_Маскерад. Подарок прекрасному полу на 1837 год","spbgu"
"30","1836_136_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","nlr"
"31","1836_136_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","rsl"
"32","1836_136_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","cz_slk"
"33","1836_136_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","fi_sl"
"34","1837_161_Грен Н._Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","nlr"
"35","1837_161_Грен Н._Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","fi_sl"
"36","1837_191_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","nlr"
"37","1837_191_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","rsl"
"38","1837_191_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","fi_sl"
"39","1838_198_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","nlr"
"40","1838_198_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","rsl"
"41","1838_198_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","cz_slk"
"42","1838_198_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","ee_ester"
"43","1838_206_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","nlr"
"44","1838_206_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","rsl"
"45","1838_206_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","us_harvard"
"46","1838_206_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","cz_slk"
"47","1838_219_Суханов М.Д._Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.","nlr"
"48","1838_219_Суханов М.Д._Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.","fi_sl"
"49","1838_241_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","nlr"
"50","1838_241_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","rsl"
"51","1838_241_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","us_harvard"
"52","1838_241_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","spbgu"
"53","1838_247_Глухарев И.Н._Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым","nlr"
"54","1838_247_Глухарев И.Н._Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым","rsl"
"55","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","nlr"
"56","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","rsl"
"57","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","us_harvard"
"58","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","cz_slk"
"59","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","fi_sl"
"60","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","spbgu"
"61","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","nlr"
"62","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","rsl"
"63","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","us_harvard"
