"","work","collection"
"1","1834_27_Никонов В._Песнь русского : В 17 день апреля 1834 года","nlr"
"2","1834_28_Виноградов Н._Куплеты, петые на Чернышенской суконной фабрике июня 1834 года, для Общества лихвинских дворян по случаю праздника, данного г-м Михайловым","nlr"
"3","1834_29_NA_Стихи для польского, [на случай прибытия его сиятельства графа Михаила Семеновича Воронцова в Екатеринослав]","nlr"
"4","1834_31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","nlr"
"5","1834_31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","rsl"
"6","1834_31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","cz_slk"
"7","1834_32_Козлов И._Его Императорскому Высочеству Наследнику Цесаревичу и Великому Князю Александру Николаевичу, в день Его тезоименинства: Стихотворение [Соч. Козлова]","nlr"
"8","1834_33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","nlr"
"9","1834_33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","rsl"
"10","1834_33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","pl_buw"
"11","1834_36_Изрядный_Каламбур: Стихотворение Изрядного","nlr"
"12","1834_36_Изрядный_Каламбур: Стихотворение Изрядного","rsl"
"13","1834_38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","nlr"
"14","1834_38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","rsl"
"15","1834_38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","ee_ester"
"16","1834_41_Стромилов С._Его императорскому высочеству, государю наследнику цесаревичу и великому князю Александру Николаевичу : Стихотворение С. Стромилова.","nlr"
"17","1834_42_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","nlr"
"18","1834_42_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","rsl"
"19","1834_45_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","nlr"
"20","1834_45_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","rsl"
"21","1834_46_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","nlr"
"22","1834_46_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","rsl"
"23","1834_56_Тукалевский И.А._На открытие памятника Александру Первому : [Стихотворение]","nlr"
"24","1834_58_Хвостов Д._Послание Петру Ивановичу Рикорду, вице-адмиралу и кавалеру в Кронштадте. 1834 года июля 28-го дня : [В стихах] / Соч. гр. Хвостова","nlr"
"25","1834_58_Хвостов Д._Послание Петру Ивановичу Рикорду, вице-адмиралу и кавалеру в Кронштадте. 1834 года июля 28-го дня : [В стихах] / Соч. гр. Хвостова","rsl"
"26","1834_60_NA_Его сиятельству графу Карлу Федоровичу Толю апреля 22 дня 1834 года : [Стихи]","ee_ester"
"27","1835_88_Топчибашев М. Д._На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","nlr"
"28","1835_88_Топчибашев М. Д._На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","rsl"
"29","1835_89_NA_Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа","nlr"
"30","1835_100_NA_За царя : [Стихотворение] / Пер. Н. Б-н-ц-кий","nlr"
"31","1835_101_NA_Князю Дмитрию Владимировичу Голицыну : [Стихотворение]","nlr"
"32","1835_103_Хвостов Д._Стихи на освящение Собора всех учебных заведений в России июля 20 дня 1835 года / граф Хвостов","nlr"
"33","1835_104_Аксаков К._Стихи, читанные в день празднования учреждения Императорского Московского университета 12-го января 1835","nlr"
"34","1835_105_б. издатель Рус. вестн_Сила ласки : [Стихотворение] И.М. Снегиреву, издателю русских пословиц. Мая 8-го 1835","nlr"
"35","1835_106_Хвостов Д._А... Л...... О...... ой 1835 года июля 26 дня","nlr"
"36","1835_107_Малышев Г._На случай отправления гвардейского отряда в Калиш 14-26-го июля 1835-го года : Стихи сии написаны музыкантом лейб-гвардии Егер. полка Малышевым. ","nlr"
"37","1835_107_Малышев Г._На случай отправления гвардейского отряда в Калиш 14-26-го июля 1835-го года : Стихи сии написаны музыкантом лейб-гвардии Егер. полка Малышевым. ","rsl"
"38","1835_108_Красноглазов А._[Стихотв.] Его высокородию, директору Московского коммерческого училища... Титу Алексеевичу Каменецкому, усерднейшее приношение, по случаю получения им от монарших щедрот ордена Станислава 2-й степени, от признательных воспитанников Московского коммерческого училища","nlr"
"39","1835_109_Бём А._Утренняя зоря : Стих к Светлому Христову воскресенью","rsl"
"40","1836_137_NA_Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","nlr"
"41","1836_137_NA_Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","rozanov"
"42","1836_143_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","nlr"
"43","1836_143_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","rsl"
"44","1836_143_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","fi_sl"
"45","1836_147_П.Ш._История основания и открытия Императорского Московского воспитательного дома ; [Заветный день, или Сердечное излияние чувствований воспитанника Императорского Московского воспитательного дома в день основания оного, 21 апреля] : [Стихотворение] / Соч. П.Ш.","nlr"
"46","1836_147_П.Ш._История основания и открытия Императорского Московского воспитательного дома ; [Заветный день, или Сердечное излияние чувствований воспитанника Императорского Московского воспитательного дома в день основания оного, 21 апреля] : [Стихотворение] / Соч. П.Ш.","rsl"
"47","1837_160_Глинка Ф.Н._Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","nlr"
"48","1837_160_Глинка Ф.Н._Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","rsl"
"49","1837_160_Глинка Ф.Н._Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","rozanov"
"50","1837_163_NA_Ксантиппа : Экспромт : [В стихах]","nlr"
"51","1837_176_NA_Стихи на новоселье в типографии","nlr"
"52","1837_185_NA_Элиза: Элегия","nlr"
"53","1837_196_NA_На посещение г. Тобольска его императорским высочеством, государем наследником цесаревичем [1-4 июня 1837 г : Стихотворение]","nlr"
"54","1837_197_Левицкий И._Стих в честь его преосвяществу Иоанну Снегурскому бискупу перемыскому, самборскому … дня 8 месяца мая 1837 года во Валяве, яко в день его высокого тезоименитства … Иосифом Левицким … сложенный","pl_bn"
"55","1838_208_Доброхотов Ф._Взгляд на поэзию Феофила Доброхотова","nlr"
"56","1838_208_Доброхотов Ф._Взгляд на поэзию Феофила Доброхотова","rsl"
"57","1838_208_Доброхотов Ф._Взгляд на поэзию Феофила Доброхотова","rozanov"
"58","1838_208_Доброхотов Ф._Взгляд на поэзию Феофила Доброхотова","cz_slk"
"59","1838_240_Волков_Симонов монастырь: Стихотворение","nlr"
"60","1838_243_Барановский В._Портрет Д. А. И. Р. Л. Соч. Василья Барановского","nlr"
"61","1838_248_Ан-в_Послание к О. Иоанну, в г. Новоалександровск: [Стихотворение]","nlr"
"62","1838_249_Бобылев Н._Чувства русского при возвращении государя императора в Санкт-Петербург : [Стихотворения / Николай Бобылев]","nlr"
"63","1838_250_Левицкий И._Стих во часть его превосходительству … Михаилу Левицкому, метрополите галицкому … во день святого архистратига Михаила дня 8 ноября 1838 … Иосифом Левицким","pl_bn"
"64","1838_251_Левицкий И._Стих во честь его преосвященству Василию Поповичу епископу мункачовскому … во день поставления его преосвященства на епископа … сложенный Иосифом Левицким","pl_bn"
