"","work","collection"
"1","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","nlr"
"2","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rsl"
"3","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rozanov"
"4","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","us_harvard"
"5","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","cz_slk"
"6","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_bn"
"7","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_buw"
"8","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","ee_ester"
"9","1834_2_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","fi_sl"
"10","1834_4_Бороздна И._Лира / [Соч.] Ивана Бороздны","nlr"
"11","1834_4_Бороздна И._Лира / [Соч.] Ивана Бороздны","rsl"
"12","1834_4_Бороздна И._Лира / [Соч.] Ивана Бороздны","rozanov"
"13","1834_4_Бороздна И._Лира / [Соч.] Ивана Бороздны","fi_sl"
"14","1834_8_Коптев А._Стихотворения","nlr"
"15","1834_8_Коптев А._Стихотворения","rsl"
"16","1834_8_Коптев А._Стихотворения","rozanov"
"17","1834_10_Пушкин В. Л._Записки в стихах","nlr"
"18","1834_10_Пушкин В. Л._Записки в стихах","rsl"
"19","1834_10_Пушкин В. Л._Записки в стихах","rozanov"
"20","1834_10_Пушкин В. Л._Записки в стихах","us_harvard"
"21","1834_11_Слепушкин Ф._Новые досуги сельского жителя","nlr"
"22","1834_11_Слепушкин Ф._Новые досуги сельского жителя","rsl"
"23","1834_11_Слепушкин Ф._Новые досуги сельского жителя","rozanov"
"24","1834_11_Слепушкин Ф._Новые досуги сельского жителя","cz_slk"
"25","1834_11_Слепушкин Ф._Новые досуги сельского жителя","spbgu"
"26","1834_12_Суходольский А._Стихотворения","nlr"
"27","1834_12_Суходольский А._Стихотворения","rozanov"
"28","1834_12_Суходольский А._Стихотворения","fi_sl"
"29","1834_14_Цыганов Н._Русские песни","nlr"
"30","1834_14_Цыганов Н._Русские песни","rsl"
"31","1834_14_Цыганов Н._Русские песни","rozanov"
"32","1834_16_NA_Гортензии: [Стихотворения]","nlr"
"33","1834_16_NA_Гортензии: [Стихотворения]","rozanov"
"34","1834_18_NA_Дитя поэзии : [Стихотворения]","nlr"
"35","1834_18_NA_Дитя поэзии : [Стихотворения]","rsl"
"36","1834_18_NA_Дитя поэзии : [Стихотворения]","rozanov"
"37","1834_18_NA_Дитя поэзии : [Стихотворения]","us_harvard"
"38","1834_18_NA_Дитя поэзии : [Стихотворения]","cz_slk"
"39","1834_18_NA_Дитя поэзии : [Стихотворения]","fi_sl"
"40","1834_20_Линдфорс Н._Стихотворения","nlr"
"41","1834_20_Линдфорс Н._Стихотворения","rsl"
"42","1834_20_Линдфорс Н._Стихотворения","us_harvard"
"43","1834_22_Фукс А._Стихотворения","cz_slk"
"44","1834_23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","nlr"
"45","1834_23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","rozanov"
"46","1834_23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","pl_buw"
"47","1834_23_Хвостов Д. И._[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","fi_sl"
"48","1834_30_Т-м-ф-в_XII песен. Отд. 3","nlr"
"49","1834_30_Т-м-ф-в_XII песен. Отд. 3","rsl"
"50","1834_34_NA_Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","nlr"
"51","1834_34_NA_Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","rsl"
"52","1834_35_NA_Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","nlr"
"53","1834_35_NA_Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","rsl"
"54","1834_37_Казимиров П._Стихотворения Петра Казимирова","nlr"
"55","1834_37_Казимиров П._Стихотворения Петра Казимирова","rsl"
"56","1834_37_Казимиров П._Стихотворения Петра Казимирова","cz_slk"
"57","1834_37_Казимиров П._Стихотворения Петра Казимирова","fi_sl"
"58","1834_39_Орлов А._Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","nlr"
"59","1834_39_Орлов А._Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","rsl"
"60","1834_40_NA_Собрание стихотворений","nlr"
"61","1834_40_NA_Собрание стихотворений","rsl"
"62","1834_44_Мясоедов Гр._Подарок друзьям, или Образчики из сочинений ","nlr"
"63","1834_52_Козлов И._Собрание стихотворений Ивана Козлова / 2-е изд. Ч. 1-2. ","nlr"
"64","1834_52_Козлов И._Собрание стихотворений Ивана Козлова / 2-е изд. Ч. 1-2. ","rsl"
"65","1834_52_Козлов И._Собрание стихотворений Ивана Козлова / 2-е изд. Ч. 1-2. ","rozanov"
"66","1834_52_Козлов И._Собрание стихотворений Ивана Козлова / 2-е изд. Ч. 1-2. ","fi_sl"
"67","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","nlr"
"68","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","rsl"
"69","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","us_harvard"
"70","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","cz_slk"
"71","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","lt_vul"
"72","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","ee_ester"
"73","1834_53_Крылов И._Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","fi_sl"
"74","1834_54_Крылов И._Басни Ивана Крылова : В 8 кн. / Новое изд., вновь испр. и умнож.","nlr"
"75","1834_54_Крылов И._Басни Ивана Крылова : В 8 кн. / Новое изд., вновь испр. и умнож.","rsl"
