"","work","collection"
"1","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","nlr"
"2","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rsl"
"3","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rozanov"
"4","1834_3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","nlr"
"5","1834_3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","rozanov"
"6","1834_3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","us_harvard"
"7","1834_3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","cz_slk"
"8","1834_5_П. Ершов_Конек-горбунок. Русская сказка","nlr"
"9","1834_5_П. Ершов_Конек-горбунок. Русская сказка","rsl"
"10","1834_5_П. Ершов_Конек-горбунок. Русская сказка","rozanov"
"11","1834_5_П. Ершов_Конек-горбунок. Русская сказка","us_harvard"
"12","1834_5_П. Ершов_Конек-горбунок. Русская сказка","ee_ester"
"13","1834_6_Карцов Н._Семейство Комариных : Роман в стихах","nlr"
"14","1834_6_Карцов Н._Семейство Комариных : Роман в стихах","rsl"
"15","1834_6_Карцов Н._Семейство Комариных : Роман в стихах","rozanov"
"16","1834_6_Карцов Н._Семейство Комариных : Роман в стихах","cz_slk"
"17","1834_7_Катенин П._Княжна Милуша : Сказка [в стихах]","nlr"
"18","1834_7_Катенин П._Княжна Милуша : Сказка [в стихах]","rsl"
"19","1834_7_Катенин П._Княжна Милуша : Сказка [в стихах]","rozanov"
"20","1834_7_Катенин П._Княжна Милуша : Сказка [в стихах]","fi_sl"
"21","1834_9_Марков П.; Соколовский В._Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","nlr"
"22","1834_13_Т-м-ф-в_Поэт: Фантазия в 3 сценах","nlr"
"23","1834_13_Т-м-ф-в_Поэт: Фантазия в 3 сценах","rozanov"
"24","1834_15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","nlr"
"25","1834_15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rsl"
"26","1834_15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rozanov"
"27","1834_17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","nlr"
"28","1834_17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rsl"
"29","1834_17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rozanov"
"30","1834_19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","nlr"
"31","1834_19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rsl"
"32","1834_19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rozanov"
"33","1834_19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","pl_bn"
"34","1834_21_NA_Сирота: Повесть [в стихах]","nlr"
"35","1834_21_NA_Сирота: Повесть [в стихах]","cz_slk"
"36","1834_24_П. Л._Любовь поэта: Повесть П. Л.","nlr"
"37","1834_25_П. К._Три года жизни. [Ч. 1] : Роман в стихах","nlr"
"38","1834_25_П. К._Три года жизни. [Ч. 1] : Роман в стихах","rsl"
"39","1834_57_Краснопольский Н._Эдуард : Повесть [в стихах] Н. Красно-Польского. Ч. 1-2","nlr"
"40","1834_57_Краснопольский Н._Эдуард : Повесть [в стихах] Н. Красно-Польского. Ч. 1-2","cz_slk"
"41","1835_61_NA_Царь-девица : [Сказка в стихах]","nlr"
"42","1835_61_NA_Царь-девица : [Сказка в стихах]","rsl"
"43","1835_61_NA_Царь-девица : [Сказка в стихах]","rozanov"
"44","1835_62_П. С._Поселенцы : Повесть в стихах","nlr"
"45","1835_62_П. С._Поселенцы : Повесть в стихах","rsl"
"46","1835_62_П. С._Поселенцы : Повесть в стихах","cz_slk"
"47","1835_63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","nlr"
"48","1835_63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","rsl"
"49","1835_64_П. К._Мария: Фантастическая повесть в стихах П.К.","nlr"
"50","1835_64_П. К._Мария: Фантастическая повесть в стихах П.К.","lt_vul"
"51","1835_65_Неведомский Н._Бурка: Поэма","nlr"
"52","1835_65_Неведомский Н._Бурка: Поэма","rsl"
"53","1835_65_Неведомский Н._Бурка: Поэма","us_harvard"
"54","1835_66_Кистерзунк А._Померанская быль : [Стихотворение] ","nlr"
"55","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","nlr"
"56","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","cz_slk"
"57","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","fi_sl"
"58","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","nlr"
"59","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","rsl"
"60","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","us_harvard"
"61","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","fi_sl"
"62","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","spbgu"
"63","1835_69_NA_Ижорский : Мистерия","nlr"
"64","1835_69_NA_Ижорский : Мистерия","rsl"
"65","1835_69_NA_Ижорский : Мистерия","us_harvard"
"66","1835_69_NA_Ижорский : Мистерия","cz_slk"
"67","1835_69_NA_Ижорский : Мистерия","ee_ester"
"68","1835_70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","nlr"
"69","1835_70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","rsl"
"70","1836_111_Алябьев В._Странник: В 2 ч.","nlr"
"71","1836_111_Алябьев В._Странник: В 2 ч.","rsl"
"72","1836_111_Алябьев В._Странник: В 2 ч.","rozanov"
"73","1836_111_Алябьев В._Странник: В 2 ч.","cz_slk"
"74","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","nlr"
"75","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","cz_slk"
"76","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","spbgu"
"77","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","nlr"
"78","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rsl"
"79","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rozanov"
"80","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","us_harvard"
"81","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","spbgu"
"82","1836_119_Кашкин Д._Александриада : Поэма","nlr"
"83","1836_119_Кашкин Д._Александриада : Поэма","rsl"
"84","1836_119_Кашкин Д._Александриада : Поэма","us_harvard"
"85","1836_119_Кашкин Д._Александриада : Поэма","fi_sl"
"86","1836_121_NA_Иванушка-дурачок : Рус. сказка в 2 ч.","nlr"
"87","1836_122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","nlr"
"88","1836_122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","cz_slk"
"89","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","rsl"
"90","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","us_harvard"
"91","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","cz_slk"
"92","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","fi_sl"
"93","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","spbgu"
"94","1836_139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","nlr"
"95","1836_139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","rsl"
"96","1837_150_Мартынов А._Колдун и его дети : Старин. рус. сказка : [В стихах] ","nlr"
"97","1837_151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","nlr"
"98","1837_151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","spbgu"
"99","1837_152_Ашик А._Изменница: [Поэма]","nlr"
"100","1837_152_Ашик А._Изменница: [Поэма]","rozanov"
"101","1837_153_Алякринский И._Рогнеда : Романтическая поэма","nlr"
"102","1837_153_Алякринский И._Рогнеда : Романтическая поэма","rsl"
"103","1837_153_Алякринский И._Рогнеда : Романтическая поэма","rozanov"
"104","1837_153_Алякринский И._Рогнеда : Романтическая поэма","fi_sl"
"105","1837_167_Подолинский А._Смерть Пери","nlr"
"106","1837_167_Подолинский А._Смерть Пери","rsl"
"107","1837_167_Подолинский А._Смерть Пери","rozanov"
"108","1837_167_Подолинский А._Смерть Пери","us_harvard"
"109","1837_167_Подолинский А._Смерть Пери","lt_vul"
"110","1837_167_Подолинский А._Смерть Пери","fi_sl"
"111","1837_167_Подолинский А._Смерть Пери","spbgu"
"112","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","nlr"
"113","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rsl"
"114","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rozanov"
"115","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","us_harvard"
"116","1837_173_Филимонов В._Обед: Поэма","nlr"
"117","1837_173_Филимонов В._Обед: Поэма","rsl"
"118","1837_173_Филимонов В._Обед: Поэма","rozanov"
"119","1837_173_Филимонов В._Обед: Поэма","us_harvard"
"120","1837_173_Филимонов В._Обед: Поэма","cz_slk"
"121","1837_173_Филимонов В._Обед: Поэма","spbgu"
"122","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","nlr"
"123","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","rsl"
"124","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","us_harvard"
"125","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","fi_sl"
"126","1837_177_Барышев Е._Еврей: Поэма","nlr"
"127","1837_177_Барышев Е._Еврей: Поэма","rsl"
"128","1837_188_Мысовский-Светогорский С._Вселенная и послание о уме человеческом : Поэма","nlr"
"129","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","nlr"
"130","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","rsl"
"131","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","cz_slk"
"132","1838_222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","nlr"
"133","1838_222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","rsl"
"134","1838_223_Бернет Е._Елена: Поэма","nlr"
"135","1838_223_Бернет Е._Елена: Поэма","rsl"
"136","1838_223_Бернет Е._Елена: Поэма","rozanov"
"137","1838_223_Бернет Е._Елена: Поэма","us_harvard"
"138","1838_223_Бернет Е._Елена: Поэма","cz_slk"
"139","1838_223_Бернет Е._Елена: Поэма","fi_sl"
"140","1838_223_Бернет Е._Елена: Поэма","spbgu"
"141","1838_225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","nlr"
"142","1838_225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","rsl"
"143","1838_226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","nlr"
"144","1838_226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","rsl"
"145","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","nlr"
"146","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","cz_slk"
"147","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","spbgu"
"148","1838_228_Фукс А._Царевна Несмеяна: Народная сказка, переложенная в стихи для 10-ти летнего читателя П.А. Жмакина.","spbgu"
"149","1838_236_NA_Сказка о Буре-Коровиче","nlr"
"150","1838_242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","nlr"
"151","1838_242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","rsl"
"152","1838_244_Поднебесный_Тальони-грация. Соч. Поднебесного","nlr"
"153","1838_244_Поднебесный_Тальони-грация. Соч. Поднебесного","rsl"
"154","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","nlr"
"155","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","rsl"
"156","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","rozanov"
"157","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","nlr"
"158","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","rsl"
"159","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","rozanov"
"160","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","us_harvard"
"161","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","cz_slk"
"162","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","fi_sl"
"163","1839_272_Дьячков С._Деньги : Комич. поэма","nlr"
"164","1839_272_Дьячков С._Деньги : Комич. поэма","rsl"
"165","1839_272_Дьячков С._Деньги : Комич. поэма","cz_slk"
"166","1839_273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","nlr"
"167","1839_273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","rsl"
"168","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","nlr"
"169","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","rsl"
"170","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","us_harvard"
"171","1839_275_NA_Полина : роман в стихах","nlr"
"172","1839_275_NA_Полина : роман в стихах","rsl"
"173","1839_275_NA_Полина : роман в стихах","cz_slk"
"174","1839_277_NA_Сказка о Марье Марьевне, кипрской королевне и Иванушке-дурачке, русском мужичке : В стихах","nlr"
"175","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","nlr"
"176","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","rsl"
"177","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","us_harvard"
"178","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","cz_slk"
"179","1839_287_А. О._Элоа : Индийская легенда","nlr"
"180","1839_287_А. О._Элоа : Индийская легенда","rsl"
"181","1839_287_А. О._Элоа : Индийская легенда","cz_slk"
"182","1839_287_А. О._Элоа : Индийская легенда","spbgu"
"183","1839_290_Севастьянов В._Горка под каретой, или За женщин, карты и вино поссориться немудрено!!! / Соч. в стихах Владимира Севастьянова","nlr"
"184","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","nlr"
"185","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","rsl"
"186","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr"
"187","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"188","1840_302_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr"
"189","1840_304_Анордист Н._Сказка о прекрасной царевне","nlr"
"190","1840_305_Дьячков С._Сказка о найденном алмазе","nlr"
"191","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr"
"192","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","rozanov"
"193","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr"
"194","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"195","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rozanov"
"196","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"197","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr"
"198","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"199","1840_329_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах] ","nlr"
