"","work","collection"
"1","315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","nlr"
"2","315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","rsl"
"3","315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","ee_ester"
"4","318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","nlr"
"5","318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","rsl"
"6","318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","cz_slk"
"7","331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","nlr"
"8","331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","rsl"
"9","331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","us_harvard"
"10","331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","pl_bn"
"11","331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","ee_ester"
"12","334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","nlr"
"13","334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","rsl"
"14","334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","cz_slk"
"15","341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","nlr"
"16","341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","rsl"
"17","341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","us_harvard"
"18","341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","cz_slk"
"19","341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","ee_ester"
"20","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","nlr"
"21","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","rsl"
"22","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","us_harvard"
"23","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","cz_slk"
"24","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","ee_ester"
"25","371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","fi_sl"
"26","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","nlr"
"27","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","rsl"
"28","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","us_harvard"
"29","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","cz_slk"
"30","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","ee_ester"
"31","372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","fi_sl"
"32","379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","nlr"
"33","379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","rsl"
"34","379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","cz_slk"
"35","414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","nlr"
"36","414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","rsl"
"37","414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","us_harvard"
"38","414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","cz_slk"
"39","414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","fi_sl"
"40","417_Милюков (изд.)_Альбом избранных стихотворений / [Изд. шт.-кап. Милюковым]. [Ч. 1]","nlr"
"41","419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","nlr"
"42","419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","rsl"
"43","419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","cz_slk"
"44","421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","nlr"
"45","421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","rsl"
"46","421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","cz_slk"
"47","422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","nlr"
"48","422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","rsl"
"49","422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","us_harvard"
"50","422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","cz_slk"
"51","422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","ee_ester"
"52","440_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","nlr"
"53","440_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","rsl"
"54","441_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","nlr"
"55","441_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","rsl"
"56","457_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","nlr"
"57","457_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","rsl"
"58","490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","nlr"
"59","490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","rsl"
"60","490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","cz_slk"
"61","490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","ee_ester"
"62","490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","fi_sl"
"63","494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","nlr"
"64","494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","rsl"
"65","494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","us_harvard"
"66","494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","lt_vul"
"67","494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","ee_ester"
"68","495_NA_Золотые цветки, или Собрание басен, мыслей и других мелких стихотворений / [Изд. К. Шрейдер]","rsl"
"69","496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","rsl"
"70","496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","us_harvard"
"71","496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","pl_bn"
