"","work","collection"
"1","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","nlr"
"2","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rsl"
"3","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rozanov"
"4","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","us_harvard"
"5","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","cz_slk"
"6","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_bn"
"7","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_buw"
"8","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","ee_ester"
"9","73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","fi_sl"
"10","75_Деларю М._Опыты в стихах Михаила Деларю","nlr"
"11","75_Деларю М._Опыты в стихах Михаила Деларю","rsl"
"12","75_Деларю М._Опыты в стихах Михаила Деларю","rozanov"
"13","75_Деларю М._Опыты в стихах Михаила Деларю","lt_vul"
"14","75_Деларю М._Опыты в стихах Михаила Деларю","pl_buw"
"15","75_Деларю М._Опыты в стихах Михаила Деларю","fi_sl"
"16","75_Деларю М._Опыты в стихах Михаила Деларю","spbgu"
"17","76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","nlr"
"18","76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","us_harvard"
"19","76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","fi_sl"
"20","77_Кольцов А._Стихотворения Алексея Кольцова","nlr"
"21","77_Кольцов А._Стихотворения Алексея Кольцова","rsl"
"22","77_Кольцов А._Стихотворения Алексея Кольцова","rozanov"
"23","77_Кольцов А._Стихотворения Алексея Кольцова","ee_ester"
"24","77_Кольцов А._Стихотворения Алексея Кольцова","fi_sl"
"25","79_Меркли М._Стихотворения Михаила Меркли","nlr"
"26","79_Меркли М._Стихотворения Михаила Меркли","rsl"
"27","79_Меркли М._Стихотворения Михаила Меркли","rozanov"
"28","79_Меркли М._Стихотворения Михаила Меркли","us_harvard"
"29","79_Меркли М._Стихотворения Михаила Меркли","fi_sl"
"30","80_Мятлев И.П._Собрание стихотворений","nlr"
"31","80_Мятлев И.П._Собрание стихотворений","rsl"
"32","80_Мятлев И.П._Собрание стихотворений","rozanov"
"33","80_Мятлев И.П._Собрание стихотворений","spbgu"
"34","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","nlr"
"35","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","rsl"
"36","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","rozanov"
"37","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","us_harvard"
"38","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","cz_slk"
"39","83_Пушкин А.С._Стихотворения Александра Пушкина. Ч. 4.","ee_ester"
"40","84_Риль Ю._Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","rsl"
"41","85_Геевский С.Л._Сочинения и переводы в стихах С.Г.","nlr"
"42","86_NA_Весенняя ветка. Стихотворения","nlr"
"43","86_NA_Весенняя ветка. Стихотворения","rozanov"
"44","86_NA_Весенняя ветка. Стихотворения","fi_sl"
"45","86_NA_Весенняя ветка. Стихотворения","spbgu"
"46","87_Т-м-ф-в_Песни: В 2 ч.","nlr"
"47","87_Т-м-ф-в_Песни: В 2 ч.","rsl"
"48","87_Т-м-ф-в_Песни: В 2 ч.","rozanov"
"49","87_Т-м-ф-в_Песни: В 2 ч.","fi_sl"
"50","87_Т-м-ф-в_Песни: В 2 ч.","spbgu"
"51","90_Цитович Н._Басни Н. Цитовича","nlr"
