"","work","collection"
"1","59_Машков П._Повести [и мечты] / [Соч.] П. Машкова. [Ч. 1-3]. [Ч. 3 : Вероломство ; Стихотворения].","nlr"
"2","771_NA_Мериносовая шаль, повесть нравственно-сатирическая и двадцать четыре стихотворения","nlr"
"3","771_NA_Мериносовая шаль, повесть нравственно-сатирическая и двадцать четыре стихотворения","rsl"
"4","771_NA_Мериносовая шаль, повесть нравственно-сатирическая и двадцать четыре стихотворения","rozanov"
"5","771_NA_Мериносовая шаль, повесть нравственно-сатирическая и двадцать четыре стихотворения","us_harvard"
"6","803_Полежаев А._Эрпели и Чир-Юрт. Две поэмы А. Полежаева","nlr"
"7","803_Полежаев А._Эрпели и Чир-Юрт. Две поэмы А. Полежаева","rsl"
"8","803_Полежаев А._Эрпели и Чир-Юрт. Две поэмы А. Полежаева","rozanov"
"9","803_Полежаев А._Эрпели и Чир-Юрт. Две поэмы А. Полежаева","lt_vul"
"10","803_Полежаев А._Эрпели и Чир-Юрт. Две поэмы А. Полежаева","fi_sl"
"11","924_Ф. С-в_Три стихотворения, сочинение Ф. С-ва","nlr"
"12","924_Ф. С-в_Три стихотворения, сочинение Ф. С-ва","us_harvard"
"13","924_Ф. С-в_Три стихотворения, сочинение Ф. С-ва","cz_slk"
"14","936_Глинка С._Две повести в стихах, почерпнутые из древних армянских летописей","nlr"
"15","936_Глинка С._Две повести в стихах, почерпнутые из древних армянских летописей","rsl"
"16","936_Глинка С._Две повести в стихах, почерпнутые из древних армянских летописей","fi_sl"
"17","936_Глинка С._Две повести в стихах, почерпнутые из древних армянских летописей","spbgu"
"18","964_Жуковский В._Баллады и повести : В 2 ч.","nlr"
"19","964_Жуковский В._Баллады и повести : В 2 ч.","rsl"
"20","964_Жуковский В._Баллады и повести : В 2 ч.","rozanov"
"21","964_Жуковский В._Баллады и повести : В 2 ч.","cz_slk"
"22","964_Жуковский В._Баллады и повести : В 2 ч.","ee_ester"
"23","964_Жуковский В._Баллады и повести : В 2 ч.","fi_sl"
"24","964_Жуковский В._Баллады и повести : В 2 ч.","spbgu"
"25","1006_Т.С._Нравоучительные и забавные повести в стихах / Соч. Т.С.","nlr"
"26","1006_Т.С._Нравоучительные и забавные повести в стихах / Соч. Т.С.","rsl"
