"","work","collection"
"1","27_Никонов В._Песнь русского : В 17 день апреля 1834 года","nlr"
"2","28_Виноградов Н._Куплеты, петые на Чернышенской суконной фабрике июня 1834 года, для Общества лихвинских дворян по случаю праздника, данного г-м Михайловым","nlr"
"3","29_NA_Стихи для польского, [на случай прибытия его сиятельства графа Михаила Семеновича Воронцова в Екатеринослав]","nlr"
"4","31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","nlr"
"5","31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","rsl"
"6","31_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","cz_slk"
"7","32_Козлов И._Его Императорскому Высочеству Наследнику Цесаревичу и Великому Князю Александру Николаевичу, в день Его тезоименинства: Стихотворение [Соч. Козлова]","nlr"
"8","33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","nlr"
"9","33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","rsl"
"10","33_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","pl_buw"
"11","36_Изрядный_Каламбур: Стихотворение Изрядного","nlr"
"12","36_Изрядный_Каламбур: Стихотворение Изрядного","rsl"
"13","38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","nlr"
"14","38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","rsl"
"15","38_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","ee_ester"
"16","41_Стромилов С._Его императорскому высочеству, государю наследнику цесаревичу и великому князю Александру Николаевичу : Стихотворение С. Стромилова.","nlr"
"17","42_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","nlr"
"18","42_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","rsl"
"19","45_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","nlr"
"20","45_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","rsl"
"21","46_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","nlr"
"22","46_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","rsl"
"23","56_Тукалевский И.А._На открытие памятника Александру Первому : [Стихотворение]","nlr"
"24","58_Хвостов Д._Послание Петру Ивановичу Рикорду, вице-адмиралу и кавалеру в Кронштадте. 1834 года июля 28-го дня : [В стихах] / Соч. гр. Хвостова","nlr"
"25","58_Хвостов Д._Послание Петру Ивановичу Рикорду, вице-адмиралу и кавалеру в Кронштадте. 1834 года июля 28-го дня : [В стихах] / Соч. гр. Хвостова","rsl"
"26","60_NA_Его сиятельству графу Карлу Федоровичу Толю апреля 22 дня 1834 года : [Стихи]","ee_ester"
"27","805_NA_Алина : [Стихотворение]","nlr"
"28","826_Волков А._Ода на усмирение бунта в Польше","nlr"
"29","827_Рейнгольд Иванов_Ода на торжественный день тезоименитства Его Величества Государя Императора Николая Павловича Самодержца Всероссийского Декабря 6-го дня. От Рейнгольда Иванова, сына Барона Фон Янквитца","nlr"
"30","828_Глинка С._Голос души и сердца благодарного отца семейства","nlr"
"31","828_Глинка С._Голос души и сердца благодарного отца семейства","rozanov"
"32","829_NA_Прощальная песнь девиц училища ордена Св. Екатерины, петая по случаю XI выпуска в 1832 году","nlr"
"33","830_NA_Русская песня на пребывание в Москве Его Императорского Высочества Великого Князя Михаила Павловича","nlr"
"34","831_NA_Русская песня. На прибытие в Москву Государыни Императрицы Александры Феодоровны","nlr"
"35","832_Хвостов_Русская песня 1833 года Декабря 6 дня","nlr"
"36","833_Ширинский-Шихматов_Торжественная песнь Россиян","nlr"
"37","834_NA_Кантата в благодарственное воспоминание бессмертных благодеяний Императрицы Марии Феодоровны, петая питомцами СПб. Коммерческого училища. Пер. с нем.","nlr"
"38","835_Линдфорс Н.Ф._Кантата на день рождения Его Превосходительства Н.И. Шелашникова. Соч. Джиованна Челли. Пер. с Итал. Н.Ф. Линдфорс","nlr"
"39","836_Баталин Н._Кант на торжественное собрание Нижегородской Губернской Гимназии","nlr"
"40","837_NA_Куплеты, петые в московском Английском клубе 12 Апреля 1833 года, по случаю праздника данного Его Сиятельству Князю Д.В. Голицыну","nlr"
"41","838_NA_Стансы, петые воспитанниками в торжественном собрании Ришельевского Лицея, по случаю 8-го выпуска, 24-го Октября","nlr"
"42","839_NA_Хор, сочиненный по случаю празднования коронации Императора Николая 1-го во 2-м Кадетском Корпусе 22 Августа 1833 года","nlr"
"43","840_Кикин А._Хор для вальса во время всерадостного присутствия их Императорских Величеств в Москве","nlr"
"44","840_Кикин А._Хор для вальса во время всерадостного присутствия их Императорских Величеств в Москве","rsl"
"45","841_NA_Хоры, петые на торжественном акте, после открытых испытаний в Московской Практической Коммерческой Академии, Июля 11-го 1832 года. Музыка Г. Кашина","nlr"
"46","842_Глинка С._На кончину Екатерины Михайловны, супруги Его Превосходительства П.И. Арсеньева","nlr"
"47","843_Глинка С._На кончину Николая Александровича Головина","nlr"
"48","844_Фомин Н._Сетующие Россияне при гробнице Государя Цесаревича и Великого Князя Константина Павловича","nlr"
"49","845_Глинка С._Два послания: первое, к Петру Тимофеевичу Баснину, Русскому Гражданину и Сибирскому уроженцу. Второе, Орфей-самоучка и красный плащ, к Николаю Алексеевичу Полевому","nlr"
"50","845_Глинка С._Два послания: первое, к Петру Тимофеевичу Баснину, Русскому Гражданину и Сибирскому уроженцу. Второе, Орфей-самоучка и красный плащ, к Николаю Алексеевичу Полевому","cz_slk"
"51","851_Орлов А._Простонародные песни Александра Орлова","nlr"
"52","851_Орлов А._Простонародные песни Александра Орлова","cz_slk"
"53","859_Сомов_Голос Украинца при вести о взятии Варшавы. Соч. Сомова","nlr"
"54","860_Поднебесный_Его сиятельству Графу Г. Ф. Канкрину, на открытие таможенного здания в СПб. Соч. Поднебесного","nlr"
"55","861_Глинка С._К портрету княза А. Н. Голицына при переходе моем на новоселье. Соч. Сергея Глинки","nlr"
"56","862_Карлгоф_Машеньке В. (Соч. Карлгофа)","nlr"
"57","864_А... М...в_На взятие Варшавы. Соч. А... М...в","nlr"
"58","865_К. Н. Ш. Ш._На всерадостное рождение Его Императорского Высочества Великого Князя Михаила Николаевича","nlr"
"59","866_Слепушкин Ф._На день 30 Августа 1832 года","nlr"
"60","866_Слепушкин Ф._На день 30 Августа 1832 года","rsl"
"61","867_Лебедев В._На покорение Польских мятежников и взятие штурмом Варшавы. Соч. Лебедева","nlr"
"62","867_Лебедев В._На покорение Польских мятежников и взятие штурмом Варшавы. Соч. Лебедева","spbgu"
"63","868_Коркунов М._Стихи на приезд Государя Императора в Москву, 11 Октября 1831 года. Соч. М. Коркунова","nlr"
"64","868_Коркунов М._Стихи на приезд Государя Императора в Москву, 11 Октября 1831 года. Соч. М. Коркунова","rsl"
"65","869_С...а Н._Стихи на нечаянное прибытие Его Императорского Величества из С. Петербурга в Москву. Соч. Н. С...а","nlr"
"66","870_NA_Стихи на сооружение памятника Александру Благословенному. С литографированным изображением памятника","nlr"
"67","870_NA_Стихи на сооружение памятника Александру Благословенному. С литографированным изображением памятника","cz_slk"
"68","871_Поднебесный_Стихи на сооружение памятника Александру Благословенному. Соч. М. Поднебесного","nlr"
"69","871_Поднебесный_Стихи на сооружение памятника Александру Благословенному. Соч. М. Поднебесного","rsl"
"70","872_Ж._Стихи князю Дмитрию Владимировичу Голицыну. Соч. Ж.","nlr"
"71","873_NA_Стихи Князю Сергию Михайловичу Голицыну, в день тезоименитства его, от воспитанников Московского Коммерческого Училища (На поллисте)","nlr"
"72","874_Марков_Стихи его Сиятельству Князю С. М. Голицыну, в день тезоимениства его. Соч. Маркова","nlr"
"73","875_NA_Стихи Александру Дмитриевичу Курбатову от друзей его на женитьбу","nlr"
"74","876_Марков_Стихи его Превосходительству М. А. Салтыкову, в день его тезоименитства. Соч. Маркова","nlr"
"75","878_Глинка С._Стихи ее Превосходительству Е. М. Кологривовой, второй матери моего семейства","nlr"
"76","879_Глинка С._Стихи его Превосходительству Н. А. Небольсину, благодетелю слепца Алексея Фролова, в день его ангела","nlr"
"77","880_Глинка С._Стихи на окончание испытания в предметах учения воспитанников Коммерческой Академии","nlr"
"78","881_Попов А._Чувствования бывшего питомца Московского Коммерческого Училища, изъявленные в день торжественного празднования первого двадцатипятилетия существования оного, соч. Александром Поповым","nlr"
"79","881_Попов А._Чувствования бывшего питомца Московского Коммерческого Училища, изъявленные в день торжественного празднования первого двадцатипятилетия существования оного, соч. Александром Поповым","rsl"
"80","882_Соколовский В._Мироздание [Опыт духовного стихотворения]. Изд. 1-е","nlr"
"81","882_Соколовский В._Мироздание [Опыт духовного стихотворения]. Изд. 1-е","rsl"
"82","882_Соколовский В._Мироздание [Опыт духовного стихотворения]. Изд. 1-е","rozanov"
"83","882_Соколовский В._Мироздание [Опыт духовного стихотворения]. Изд. 1-е","us_harvard"
"84","882_Соколовский В._Мироздание [Опыт духовного стихотворения]. Изд. 1-е","fi_sl"
"85","884_Рогов Н._Богословские три дщери во единой матери своей. Соч. Николая Рогова","nlr"
"86","884_Рогов Н._Богословские три дщери во единой матери своей. Соч. Николая Рогова","rsl"
"87","885_Хвостов_Гимн Иисусу Христу. Соч. Графа Хвостова","nlr"
"88","886_Севастьянов Н._Гимны Святителю Митрофану, первому Епископу Воронежскому. Соч. Николая Севастьянова","nlr"
"89","886_Севастьянов Н._Гимны Святителю Митрофану, первому Епископу Воронежскому. Соч. Николая Севастьянова","rsl"
"90","887_И. П._Молитва русского народа. Соч. И. П.","nlr"
"91","889_Якимов В._Дар слова : [Стихотворение]","nlr"
"92","889_Якимов В._Дар слова : [Стихотворение]","spbgu"
"93","958_NA_Волшебный раек, или живые картины, в стихах","nlr"
"94","959_Н.Д._Дверницкий с своими героями, или национальный дух храбрости поляков : Комическое сочинение","nlr"
"95","960_А.П._Масленица на Москве реке : Шуточное стихотворение А.П.","nlr"
"96","960_А.П._Масленица на Москве реке : Шуточное стихотворение А.П.","rsl"
"97","963_NA_Фомин Понедельник : Шуточное стихотворение","nlr"
"98","963_NA_Фомин Понедельник : Шуточное стихотворение","rsl"
"99","967_NA_Ода в честь побед в Азиатской Турции, совершенных знаменитым Главнокомандующим Отдельного Кавказского корпуса графом Иваном Федоровичем Паскевичем-Эриванским","nlr"
"100","968_Долгорукий В._Ода по случаю замирения Российской Империи с Оттоманской Портою, сочиненная и поднесенная Его Имп. В. от усердия и душевной преданности кн. Владимиров Долгоруким, Января 18 дня 1830 г.","rsl"
"101","969_NA_Ода на всерадостнейшее, неожиданное прибытие Его В. Гос. Имп. Николая Павловича в Московскую столицу 1830 года, марта 7-го числа во 2-м часу полуночи","nlr"
"102","970_NA_Прощальная песнь, петая воспитанницами Общества Благородных Девиц, при выпуске 1830 года","nlr"
"103","971_Гурьянов И._Радостный глас Москвитянина, при прибытии Гос. Имп. Николая Павловича в Москву, сентября в 29 день, 1830 года, с изъявлением сердечных чувство о предшествовавших сему событиях касательно Холеры / Соч. Ивана Гульянова","nlr"
"104","972_Петров А._К царю Отцу-Отечества, Николаю I, Московские граждане, в день Его прибытия в первопрестольных град Москву, 1830 года, Сентября 29 дня (по случаю свирепствующей здесь болезни Холеры)","nlr"
"105","973_NA_Глас Московских жителей на всерадостное прибытие в Москву Имп. Николая Первого","nlr"
"106","974_NA_Шесть элегических стихотворений","nlr"
"107","974_NA_Шесть элегических стихотворений","rsl"
"108","974_NA_Шесть элегических стихотворений","us_harvard"
"109","974_NA_Шесть элегических стихотворений","spbgu"
"110","975_Горбачев И._На смерть Иванюковой в Нежине / Соч. Ивана Горбачева","nlr"
"111","975_Горбачев И._На смерть Иванюковой в Нежине / Соч. Ивана Горбачева","cz_slk"
"112","982_NA_Песня в честь Ерофеича (на голос: Мы живем среди полей)","nlr"
"113","983_Веревкин Н._Взятие Варшавы. Стихотворение Николая Веревкина","nlr"
"114","983_Веревкин Н._Взятие Варшавы. Стихотворение Николая Веревкина","spbgu"
"115","984_Данилевский Н._Глас умирающего поляка после сражения, бывшего под Прагою / Стихотв. Николая Данилевского","nlr"
"116","985_Фоминский Ф._Дума : Александр I / Соч. Федора Фоминского","nlr"
"117","985_Фоминский Ф._Дума : Александр I / Соч. Федора Фоминского","rsl"
"118","986_Глинка С._Жертва памяти Илье Алексеевичу Холодилову","nlr"
"119","988_Хвостов_Радостная в Августе весть / Стихотворение Графа Хвостова","nlr"
"120","988_Хвостов_Радостная в Августе весть / Стихотворение Графа Хвостова","rsl"
"121","988_Хвостов_Радостная в Августе весть / Стихотворение Графа Хвостова","cz_slk"
"122","989_Паршов И._Российскому воинству, по случаю выступления в поход 1831 года / Соч. И. Паршова","nlr"
"123","989_Паршов И._Российскому воинству, по случаю выступления в поход 1831 года / Соч. И. Паршова","rsl"
"124","990_Жуковский В._Русская слава : Стихотворение","nlr"
"125","990_Жуковский В._Русская слава : Стихотворение","rsl"
"126","990_Жуковский В._Русская слава : Стихотворение","rozanov"
"127","990_Жуковский В._Русская слава : Стихотворение","lt_vul"
"128","990_Жуковский В._Русская слава : Стихотворение","spbgu"
"129","993_Глинка С._Стихи на прибытие Гос. Имп. в Москву, 29 Сентября сего 1830 года","nlr"
