"","work","collection"
"1","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","nlr"
"2","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rsl"
"3","1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rozanov"
"4","3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","nlr"
"5","3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","rozanov"
"6","3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","us_harvard"
"7","3_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","cz_slk"
"8","5_П. Ершов_Конек-горбунок. Русская сказка","nlr"
"9","5_П. Ершов_Конек-горбунок. Русская сказка","rsl"
"10","5_П. Ершов_Конек-горбунок. Русская сказка","rozanov"
"11","5_П. Ершов_Конек-горбунок. Русская сказка","us_harvard"
"12","5_П. Ершов_Конек-горбунок. Русская сказка","ee_ester"
"13","6_Карцов Н._Семейство Комариных : Роман в стихах","nlr"
"14","6_Карцов Н._Семейство Комариных : Роман в стихах","rsl"
"15","6_Карцов Н._Семейство Комариных : Роман в стихах","rozanov"
"16","6_Карцов Н._Семейство Комариных : Роман в стихах","cz_slk"
"17","7_Катенин П._Княжна Милуша : Сказка [в стихах]","nlr"
"18","7_Катенин П._Княжна Милуша : Сказка [в стихах]","rsl"
"19","7_Катенин П._Княжна Милуша : Сказка [в стихах]","rozanov"
"20","7_Катенин П._Княжна Милуша : Сказка [в стихах]","fi_sl"
"21","9_Марков П.; Соколовский В._Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","nlr"
"22","13_Т-м-ф-в_Поэт: Фантазия в 3 сценах","nlr"
"23","13_Т-м-ф-в_Поэт: Фантазия в 3 сценах","rozanov"
"24","15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","nlr"
"25","15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rsl"
"26","15_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rozanov"
"27","17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","nlr"
"28","17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rsl"
"29","17_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rozanov"
"30","19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","nlr"
"31","19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rsl"
"32","19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rozanov"
"33","19_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","pl_bn"
"34","21_NA_Сирота: Повесть [в стихах]","nlr"
"35","21_NA_Сирота: Повесть [в стихах]","cz_slk"
"36","24_П. Л._Любовь поэта: Повесть П. Л.","nlr"
"37","25_П. К._Три года жизни. [Ч. 1] : Роман в стихах","nlr"
"38","25_П. К._Три года жизни. [Ч. 1] : Роман в стихах","rsl"
"39","57_Краснопольский Н._Эдуард : Повесть [в стихах] Н. Красно-Польского. Ч. 1-2","nlr"
"40","57_Краснопольский Н._Эдуард : Повесть [в стихах] Н. Красно-Польского. Ч. 1-2","cz_slk"
"41","797_Свечин Павел_Александроида. Современная поэма / 2-е изд.","fi_sl"
"42","798_NA_Богдан Хмельницкий. Поэма в 5 песнях","nlr"
"43","798_NA_Богдан Хмельницкий. Поэма в 5 песнях","rsl"
"44","798_NA_Богдан Хмельницкий. Поэма в 5 песнях","us_harvard"
"45","798_NA_Богдан Хмельницкий. Поэма в 5 песнях","cz_slk"
"46","800_Вельтман А._Песнь ополчению Игоря Святославовича, князя Новгород-Северского. Переведено с древнего Русского языка XII-го столетия Александром Вельтманом","nlr"
"47","800_Вельтман А._Песнь ополчению Игоря Святославовича, князя Новгород-Северского. Переведено с древнего Русского языка XII-го столетия Александром Вельтманом","rsl"
"48","802_Немирович-Данченко_Эвридика и Орфей. Поэма Немировича-Данченко","nlr"
"49","802_Немирович-Данченко_Эвридика и Орфей. Поэма Немировича-Данченко","cz_slk"
"50","802_Немирович-Данченко_Эвридика и Орфей. Поэма Немировича-Данченко","spbgu"
"51","804_И.Р._Али-Кара-Мирза. Черкесская повесть в стихах","nlr"
"52","804_И.Р._Али-Кара-Мирза. Черкесская повесть в стихах","rsl"
"53","804_И.Р._Али-Кара-Мирза. Черкесская повесть в стихах","fi_sl"
"54","806_София М._Бабушкин кот, или заклинательница, повесть в стихах. Соч. Софии М.","nlr"
"55","807_Бахтурин К._Вступление на престол князя Александра Тверского. Историческая повесть, в стихах. Соч. Константина Бахтурина","nlr"
"56","807_Бахтурин К._Вступление на престол князя Александра Тверского. Историческая повесть, в стихах. Соч. Константина Бахтурина","rsl"
"57","807_Бахтурин К._Вступление на престол князя Александра Тверского. Историческая повесть, в стихах. Соч. Константина Бахтурина","rozanov"
"58","808_Крюкова О._Донец. Повесть в стихах. Соч. Ольги Крюковой","nlr"
"59","808_Крюкова О._Донец. Повесть в стихах. Соч. Ольги Крюковой","rsl"
"60","808_Крюкова О._Донец. Повесть в стихах. Соч. Ольги Крюковой","cz_slk"
"61","809_София М._Жених мертвец. Повесть в стихах. Соч. Софии М***","nlr"
"62","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","nlr"
"63","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","rsl"
"64","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","us_harvard"
"65","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","cz_slk"
"66","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","pl_bn"
"67","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","fi_sl"
"68","810_Марков_Мятежники. Повесть, взятая из войны с Польскими мятежниками. Соч. Маркова","spbgu"
"69","811_И. К._Нечай, или битва под Красным. Историческая повесть, в думах [стихами]","nlr"
"70","811_И. К._Нечай, или битва под Красным. Историческая повесть, в думах [стихами]","cz_slk"
"71","811_И. К._Нечай, или битва под Красным. Историческая повесть, в думах [стихами]","fi_sl"
"72","812_Чижов П._Новобрачные. Повесть в стихах. Соч. П. Чижова","nlr"
"73","812_Чижов П._Новобрачные. Повесть в стихах. Соч. П. Чижова","rsl"
"74","812_Чижов П._Новобрачные. Повесть в стихах. Соч. П. Чижова","rozanov"
"75","813_Косяровский И._Переметчик. Историческая повесть, относящаяся ко второй половине прошлого столетия. Соч. И. Косяровского","nlr"
"76","813_Косяровский И._Переметчик. Историческая повесть, относящаяся ко второй половине прошлого столетия. Соч. И. Косяровского","rsl"
"77","813_Косяровский И._Переметчик. Историческая повесть, относящаяся ко второй половине прошлого столетия. Соч. И. Косяровского","cz_slk"
"78","814_Родивановский П._Пленник. Соч. П. Родивановского","nlr"
"79","814_Родивановский П._Пленник. Соч. П. Родивановского","rsl"
"80","814_Родивановский П._Пленник. Соч. П. Родивановского","spbgu"
"81","815_А.Б._Поселянка. Повесть в стихах. Соч. А. Б. 1-я часть","nlr"
"82","815_А.Б._Поселянка. Повесть в стихах. Соч. А. Б. 1-я часть","cz_slk"
"83","816_С. С-кий_Пустынник. Повесть в стихах. Соч. С. С-кого","nlr"
"84","817_Дмитриевский М._Страдалец. Повесть в стихах. Соч. Михаила Дмитриевского","nlr"
"85","818_Суходольский А._Эмилия. Польская повесть в стихах","nlr"
"86","818_Суходольский А._Эмилия. Польская повесть в стихах","rozanov"
"87","819_Литвинов В._Юлия. Историческая Русская повесть","nlr"
"88","819_Литвинов В._Юлия. Историческая Русская повесть","cz_slk"
"89","819_Литвинов В._Юлия. Историческая Русская повесть","fi_sl"
"90","820_И. Ш...н_Доктор Еремей, или счастье от беды. Сказка вольными стихами. Соч. И. Ш[тевен]а","nlr"
"91","820_И. Ш...н_Доктор Еремей, или счастье от беды. Сказка вольными стихами. Соч. И. Ш[тевен]а","rozanov"
"92","820_И. Ш...н_Доктор Еремей, или счастье от беды. Сказка вольными стихами. Соч. И. Ш[тевен]а","cz_slk"
"93","821_И. В._Мачеха и падчерица. Русская сказка","nlr"
"94","821_И. В._Мачеха и падчерица. Русская сказка","us_harvard"
"95","821_И. В._Мачеха и падчерица. Русская сказка","cz_slk"
"96","821_И. В._Мачеха и падчерица. Русская сказка","spbgu"
"97","825_Пуговишников А.М._Умершие колдуны, или явление мертвецов. Сельская баллада","nlr"
"98","928_барон Розен_Рождение Иоанна Грозного. Поэма в 3 ч.","nlr"
"99","928_барон Розен_Рождение Иоанна Грозного. Поэма в 3 ч.","rsl"
"100","928_барон Розен_Рождение Иоанна Грозного. Поэма в 3 ч.","rozanov"
"101","928_барон Розен_Рождение Иоанна Грозного. Поэма в 3 ч.","spbgu"
"102","929_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева","nlr"
"103","930_Манасеин П._Ад и рай Магометов. Соч. П. Манасеина","nlr"
"104","930_Манасеин П._Ад и рай Магометов. Соч. П. Манасеина","rsl"
"105","930_Манасеин П._Ад и рай Магометов. Соч. П. Манасеина","cz_slk"
"106","931_Пушкин А._Бахчисарайский фонтан / 3-е изд.","nlr"
"107","931_Пушкин А._Бахчисарайский фонтан / 3-е изд.","rsl"
"108","931_Пушкин А._Бахчисарайский фонтан / 3-е изд.","us_harvard"
"109","931_Пушкин А._Бахчисарайский фонтан / 3-е изд.","cz_slk"
"110","931_Пушкин А._Бахчисарайский фонтан / 3-е изд.","lt_vul"
"111","932_Максимович П._Бесприютная : Повесть в стихах. Соч. Прова Максимовича","nlr"
"112","932_Максимович П._Бесприютная : Повесть в стихах. Соч. Прова Максимовича","rsl"
"113","932_Максимович П._Бесприютная : Повесть в стихах. Соч. Прова Максимовича","cz_slk"
"114","933_Козлов И._Безумная : Русская повесть в стихах","nlr"
"115","933_Козлов И._Безумная : Русская повесть в стихах","rsl"
"116","933_Козлов И._Безумная : Русская повесть в стихах","rozanov"
"117","933_Козлов И._Безумная : Русская повесть в стихах","us_harvard"
"118","933_Козлов И._Безумная : Русская повесть в стихах","fi_sl"
"119","933_Козлов И._Безумная : Русская повесть в стихах","spbgu"
"120","934_Вельтман А._Беглец : Повесть в стиха","nlr"
"121","934_Вельтман А._Беглец : Повесть в стиха","rsl"
"122","935_Шидловский А._Гребенский казак : Повесть","nlr"
"123","935_Шидловский А._Гребенский казак : Повесть","rsl"
"124","935_Шидловский А._Гребенский казак : Повесть","rozanov"
"125","935_Шидловский А._Гребенский казак : Повесть","fi_sl"
"126","935_Шидловский А._Гребенский казак : Повесть","spbgu"
"127","938_NA_Евгений Онегин: Роман в стихах : Гл. 7 ","nlr"
"128","938_NA_Евгений Онегин: Роман в стихах : Гл. 7 ","rsl"
"129","938_NA_Евгений Онегин: Роман в стихах : Гл. 7 ","rozanov"
"130","938_NA_Евгений Онегин: Роман в стихах : Гл. 7 ","us_harvard"
"131","939_NA_Каллимах, рассказ моим друзьям","nlr"
"132","940_NA_Купеческий сынок, или следствие неблагоразумного воспитания : Нравственно-сатирический роман","nlr"
"133","940_NA_Купеческий сынок, или следствие неблагоразумного воспитания : Нравственно-сатирический роман","rsl"
"134","940_NA_Купеческий сынок, или следствие неблагоразумного воспитания : Нравственно-сатирический роман","cz_slk"
"135","941_NA_Мечислан и Рослана : Русская сказка","nlr"
"136","941_NA_Мечислан и Рослана : Русская сказка","rsl"
"137","941_NA_Мечислан и Рослана : Русская сказка","cz_slk"
"138","941_NA_Мечислан и Рослана : Русская сказка","fi_sl"
"139","942_Ф. С-в_Могила : Стихотворный рассказ, в 3-х частях. Сочинение Ф. С-ва","nlr"
"140","943_Ивельев_Московские минеральные воды : Повесть в стихах : Гл. 1","nlr"
"141","943_Ивельев_Московские минеральные воды : Повесть в стихах : Гл. 1","rozanov"
"142","943_Ивельев_Московские минеральные воды : Повесть в стихах : Гл. 1","us_harvard"
"143","943_Ивельев_Московские минеральные воды : Повесть в стихах : Гл. 1","cz_slk"
"144","944_Вельтман А._Муромские леса : Повесть в стихах","nlr"
"145","944_Вельтман А._Муромские леса : Повесть в стихах","rsl"
"146","944_Вельтман А._Муромские леса : Повесть в стихах","rozanov"
"147","944_Вельтман А._Муромские леса : Повесть в стихах","us_harvard"
"148","944_Вельтман А._Муромские леса : Повесть в стихах","ee_ester"
"149","944_Вельтман А._Муромские леса : Повесть в стихах","fi_sl"
"150","945_Баратынский Е._Наложница","nlr"
"151","945_Баратынский Е._Наложница","rsl"
"152","945_Баратынский Е._Наложница","rozanov"
"153","945_Баратынский Е._Наложница","us_harvard"
"154","946_Подолинский А._Нищий","nlr"
"155","946_Подолинский А._Нищий","rsl"
"156","946_Подолинский А._Нищий","rozanov"
"157","946_Подолинский А._Нищий","us_harvard"
"158","946_Подолинский А._Нищий","cz_slk"
"159","946_Подолинский А._Нищий","spbgu"
"160","947_NA_Нет действий без причин, или следствие отцовской несправедливости : Нравственно-сатирический роман","nlr"
"161","947_NA_Нет действий без причин, или следствие отцовской несправедливости : Нравственно-сатирический роман","rsl"
"162","947_NA_Нет действий без причин, или следствие отцовской несправедливости : Нравственно-сатирический роман","cz_slk"
"163","947_NA_Нет действий без причин, или следствие отцовской несправедливости : Нравственно-сатирический роман","fi_sl"
"164","948_Волинад. (Данилова) Н._Огин : Повесть Николая Волинад. (Данилова)","cz_slk"
