"","work","collection"
"1","497_Адельсон З._Полночь. 1844-1845 [Текст] : [Буря]. [Стихотворения] / Cоч. З.Адельсон","nlr"
"2","497_Адельсон З._Полночь. 1844-1845 [Текст] : [Буря]. [Стихотворения] / Cоч. З.Адельсон","rsl"
"3","497_Адельсон З._Полночь. 1844-1845 [Текст] : [Буря]. [Стихотворения] / Cоч. З.Адельсон","rozanov"
"4","498_Боде А._Литературные плоды бессонницы : [Соч.] бар. Александра Боде","nlr"
"5","498_Боде А._Литературные плоды бессонницы : [Соч.] бар. Александра Боде","rozanov"
"6","499_Губер Э._Стихотворения / [Соч.] Эдуарда Губера","nlr"
"7","499_Губер Э._Стихотворения / [Соч.] Эдуарда Губера","rsl"
"8","499_Губер Э._Стихотворения / [Соч.] Эдуарда Губера","rozanov"
"9","499_Губер Э._Стихотворения / [Соч.] Эдуарда Губера","us_harvard"
"10","499_Губер Э._Стихотворения / [Соч.] Эдуарда Губера","fi_sl"
"11","500_Лизандер Д._Стихотворения Дмитрия фон-Лизандера","nlr"
"12","500_Лизандер Д._Стихотворения Дмитрия фон-Лизандера","rsl"
"13","500_Лизандер Д._Стихотворения Дмитрия фон-Лизандера","rozanov"
"14","500_Лизандер Д._Стихотворения Дмитрия фон-Лизандера","us_harvard"
"15","503_Филимонов В._Москва : Три песни / [Соч.] Владимира Филимонова","nlr"
"16","503_Филимонов В._Москва : Три песни / [Соч.] Владимира Филимонова","rsl"
"17","503_Филимонов В._Москва : Три песни / [Соч.] Владимира Филимонова","rozanov"
"18","503_Филимонов В._Москва : Три песни / [Соч.] Владимира Филимонова","fi_sl"
"19","504_Языков Н._Новые стихотворения Н. Языкова","nlr"
"20","504_Языков Н._Новые стихотворения Н. Языкова","rsl"
"21","504_Языков Н._Новые стихотворения Н. Языкова","rozanov"
"22","504_Языков Н._Новые стихотворения Н. Языкова","fi_sl"
"23","505_NA_Московский театрал : Куплеты И.А.","nlr"
"24","505_NA_Московский театрал : Куплеты И.А.","rsl"
"25","505_NA_Московский театрал : Куплеты И.А.","rozanov"
"26","508_Дараган М._Заметки : Стихотворения М. Дарагана","nlr"
"27","509_Штавер П._Стихотворения / [Соч.] Петра Штавера","nlr"
"28","509_Штавер П._Стихотворения / [Соч.] Петра Штавера","rsl"
"29","509_Штавер П._Стихотворения / [Соч.] Петра Штавера","cz_slk"
"30","512_Ив-ни-со…_Весенний вечер или собрание сочинений / Соч. кн. Ив-ни-со...","nlr"
"31","516_Зубов П._Стихи Платона Зубова","nlr"
"32","538_Аскоченский В._Стихотворения В. Аскоченского","nlr"
"33","538_Аскоченский В._Стихотворения В. Аскоченского","rsl"
"34","538_Аскоченский В._Стихотворения В. Аскоченского","rozanov"
"35","538_Аскоченский В._Стихотворения В. Аскоченского","fi_sl"
"36","539_Григорьев А._Стихотворения Аполлона Григорьева","nlr"
"37","539_Григорьев А._Стихотворения Аполлона Григорьева","rsl"
"38","539_Григорьев А._Стихотворения Аполлона Григорьева","rozanov"
"39","539_Григорьев А._Стихотворения Аполлона Григорьева","fi_sl"
"40","540_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","nlr"
"41","540_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","rsl"
"42","540_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","rozanov"
"43","540_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","fi_sl"
"44","541_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","nlr"
"45","541_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","rsl"
"46","541_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","rozanov"
"47","541_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","us_harvard"
"48","541_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","fi_sl"
"49","543_NA_Сибирские мелодии","nlr"
"50","543_NA_Сибирские мелодии","rsl"
"51","543_NA_Сибирские мелодии","rozanov"
"52","543_NA_Сибирские мелодии","fi_sl"
"53","544_Н._Сочинения Н.: [Стихи]","nlr"
"54","544_Н._Сочинения Н.: [Стихи]","rsl"
"55","544_Н._Сочинения Н.: [Стихи]","rozanov"
"56","546_Аксеновский Д._Стихотворения Д. Аксеновского, придворного мастера водоочистительных машин","nlr"
"57","546_Аксеновский Д._Стихотворения Д. Аксеновского, придворного мастера водоочистительных машин","rsl"
"58","548_NA_Подарок прекрасному полу :[Вып. 1]","nlr"
"59","548_NA_Подарок прекрасному полу :[Вып. 1]","rsl"
"60","548_NA_Подарок прекрасному полу :[Вып. 1]","fi_sl"
"61","549_Савинский А._Стихотворения Анастасия Савинского : [Вып. 2]","nlr"
"62","549_Савинский А._Стихотворения Анастасия Савинского : [Вып. 2]","rsl"
"63","554_Бедарева А._Стихотворения Александры Бедаревой","nlr"
"64","554_Бедарева А._Стихотворения Александры Бедаревой","rsl"
"65","564_Жадовская Ю._Стихотворения Юлии Жадовской","nlr"
"66","564_Жадовская Ю._Стихотворения Юлии Жадовской","rsl"
"67","564_Жадовская Ю._Стихотворения Юлии Жадовской","us_harvard"
"68","564_Жадовская Ю._Стихотворения Юлии Жадовской","fi_sl"
"69","566_Волков Ю._Стихотворения Юрия Волкова","nlr"
"70","568_Иванов В._Стихотворения Владимира Иванова","nlr"
"71","571_Набатов С._Млечная звездочка : Стихотворения Сергея Набатова.","nlr"
"72","572_Сельский С._Отголоски юности : Опыты в стихах С. Сельского","nlr"
"73","572_Сельский С._Отголоски юности : Опыты в стихах С. Сельского","rsl"
"74","580_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","nlr"
"75","580_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","rsl"
"76","580_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","rozanov"
"77","581_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","nlr"
"78","581_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","rsl"
"79","581_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","rozanov"
"80","583_Голишев Н._Духовные стихотворения Николая Голишева","nlr"
"81","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","nlr"
"82","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","rsl"
"83","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","rozanov"
"84","585_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","cz_slk"
"85","587_Нольде Н.К._Стихотворения барона Н.К. Нольде 1846 года","nlr"
"86","587_Нольде Н.К._Стихотворения барона Н.К. Нольде 1846 года","rozanov"
"87","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","nlr"
"88","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","rsl"
"89","588_Скарретка В._Мечты и жизнь поэта / Соч. лишенного зрения Вильгельма Скарретки","rozanov"
"90","591_Н.Т._Стихотворения / Н.Т.","nlr"
"91","591_Н.Т._Стихотворения / Н.Т.","rozanov"
"92","591_Н.Т._Стихотворения / Н.Т.","fi_sl"
"93","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","nlr"
"94","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","rsl"
"95","593_Жмакин В._Подарок другу : Стихотворения В. Жмакина","us_harvard"
"96","594_Фараонов И._Опыт переложения в стихи некоторых мест Священного писания / [Соч.] И. Фараонова","nlr"
"97","594_Фараонов И._Опыт переложения в стихи некоторых мест Священного писания / [Соч.] И. Фараонова","rsl"
"98","595_Чернов П._Стихотворения Платона Чернова (1845, 46 и 47)","nlr"
"99","595_Чернов П._Стихотворения Платона Чернова (1845, 46 и 47)","us_harvard"
"100","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","nlr"
"101","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","rsl"
"102","605_Уманский И.В._Басни / И.В. Уманского [Кн. 1]","fi_sl"
"103","608_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","nlr"
"104","608_Щербаков Г._Стихотворения / [Соч.] Григория Щербакова.","rsl"
"105","609_NA_Туман на заре : [Стихи]","nlr"
"106","612_Глебов Л._Стихотворения. 1845 и 1846 / [Соч.] Леонида Глебова.","nlr"
"107","615_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","nlr"
"108","615_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","rsl"
"109","620_Остроумов И._Часы моей фантазии : Стихотворения Ивана Остроумова, крестьянина гр. Александра Никитича Панина, Владимир. губ., Гороховец. уезда, села Нижнего Ландеха. Посвящаются любителям поэзии. Ч. 1","nlr"
"110","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","nlr"
"111","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","rozanov"
"112","627_Соваж К._Тревога раздумья : Стихотворения К. Соваж","fi_sl"
"113","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","nlr"
"114","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","rsl"
"115","628_Волошеновский Ф._Поэтические вспышки : Стихотворения Федора Волошеновского","fi_sl"
"116","629_Малышев Г._Стихотворения Григория Малышева","nlr"
"117","629_Малышев Г._Стихотворения Григория Малышева","rsl"
"118","629_Малышев Г._Стихотворения Григория Малышева","us_harvard"
"119","629_Малышев Г._Стихотворения Григория Малышева","fi_sl"
"120","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","nlr"
"121","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","cz_slk"
"122","630_Шкурин Х.Н._Из действительной жизни : Стихотворения Х.Н. Шкурина","ee_ester"
"123","632_Витусов П._Собрание стихотворений П. Витусова","nlr"
"124","632_Витусов П._Собрание стихотворений П. Витусова","fi_sl"
"125","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","nlr"
"126","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","rsl"
"127","634_Ключарев А._Стихотворения / [Соч.] Александра Ключарева","fi_sl"
"128","636_Голишев Н._Военный досуг : Стихотворения Николая Голишева : С портр. авт.","nlr"
