"","work","collection"
"1","72_А. Я-в_Кривой бес. Русская сказка [Стихотворения]","nlr"
"2","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","nlr"
"3","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","rsl"
"4","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","us_harvard"
"5","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","cz_slk"
"6","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","ee_ester"
"7","81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","fi_sl"
"8","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","nlr"
"9","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","rsl"
"10","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","rozanov"
"11","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","us_harvard"
"12","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","cz_slk"
"13","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","pl_buw"
"14","82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","ee_ester"
"15","92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","nlr"
"16","92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","rsl"
"17","92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","rozanov"
"18","92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","cz_slk"
"19","92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","ee_ester"
"20","94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","nlr"
"21","94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","rsl"
"22","94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","rozanov"
"23","94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","cz_slk"
"24","94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","ee_ester"
"25","95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","nlr"
"26","95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","rsl"
"27","95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","rozanov"
"28","95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","cz_slk"
"29","95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","ee_ester"
"30","110_Никитин А._Повести Александра Никитина : 1-[2]","nlr"
"31","110_Никитин А._Повести Александра Никитина : 1-[2]","rsl"
"32","110_Никитин А._Повести Александра Никитина : 1-[2]","cz_slk"
"33","116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","nlr"
"34","116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","rsl"
"35","116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","rozanov"
"36","116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","lt_vul"
"37","131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","nlr"
"38","131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","rsl"
"39","131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","pl_buw"
"40","131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","fi_sl"
"41","144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","nlr"
"42","144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","rsl"
"43","144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","rozanov"
