"","work","collection"
"1","300_Данков И.И._Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]","nlr"
"2","300_Данков И.И._Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]","rsl"
"3","300_Данков И.И._Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]","rozanov"
"4","300_Данков И.И._Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]","cz_slk"
"5","323_Маслеников-Какуев_Его превосходительству господину тайному советнику, сенатору, почетному опекуну, обер-директору московского коммерческого училища и кавалеру Михаилу Александровичу Салтыкову в день его тезоименитства 8 ноября 1840 года : [Стихотворение]","nlr"
"6","324_Рыбников А._Его высокородию господину директору Московской практической коммерческой академии и Общества любителей коммерческих знаний, президенту евангелическо-лютеранской консистории, статскому советнику и разных орденов кавалеру, Андрею Ивановичу Шредеру : [Стихотворение]","nlr"
"7","325_NA_Господам членам Немецкого клуба на 1840 год : [Стихотворение]","nlr"
"8","326_Орлов А._С радостными чувствами благоговения, жданный 1840 год. Соч. [в стихах] Александра Орлова","nlr"
"9","327_Ободовский П._Царский цветник : Der Kaisergarten. Ein Gedicht von P. Obodofskoy. Uebers. [в стихах] von Karl Friedrich von Grossheinrich","nlr"
"10","327_Ободовский П._Царский цветник : Der Kaisergarten. Ein Gedicht von P. Obodofskoy. Uebers. [в стихах] von Karl Friedrich von Grossheinrich","rsl"
"11","327_Ободовский П._Царский цветник : Der Kaisergarten. Ein Gedicht von P. Obodofskoy. Uebers. [в стихах] von Karl Friedrich von Grossheinrich","cz_slk"
"12","335_Орлов А.А._Торжественное заложение храма по имя Христа Спасителя","nlr"
"13","337_Глинка Ф._Москве благотворительной : [Стихотворение]","nlr"
"14","338_NA_Татарка : [Стихотворение] : (Посв. Ф. Байкову)","nlr"
"15","339_NA_Путешествие в Троицкую Сергиеву лавру : [Стихи]","nlr"
"16","339_NA_Путешествие в Троицкую Сергиеву лавру : [Стихи]","rsl"
"17","340_Лисенецкий С.Ф._Венец благодарной милости днем 8 ноября 1840 года яко … тезоименитства его превосходительства … Михаила Левицкого, митрополита галицкого … Феофилом Лисенецким","pl_bn"
"18","360_Савостьянов К._Чувства детей, усердных к матушке царице, по случаю посещения, которым благоволила удостоить ее императорское величество государыня императрица Александра Феодоровна, город Воронеж августа: 13, 14, 15 и 16 дня 1837 года : [Стихи] / Соч. бобров. гражд. К. Савостьянова","nlr"
"19","360_Савостьянов К._Чувства детей, усердных к матушке царице, по случаю посещения, которым благоволила удостоить ее императорское величество государыня императрица Александра Феодоровна, город Воронеж августа: 13, 14, 15 и 16 дня 1837 года : [Стихи] / Соч. бобров. гражд. К. Савостьянова","rsl"
"20","362_NA_Поздравительные стихи с масляницей.... ... [на 1841 год. - 1841]","nlr"
