"","work","signature"
"1","_1834_49_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","nlr_1"
"2","_1834_49_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","rsl"
"3","_1834_49_Фл… Спин.._Незабудка: Московский Альманах. Соч. Фл.... Спин....","fi_sl"
"4","_1836_121_NA_Маскерад. Подарок прекрасному полу на 1837 год","nlr_1"
"5","_1836_121_NA_Маскерад. Подарок прекрасному полу на 1837 год","rsl"
"6","_1836_125_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","nlr_1"
"7","_1836_125_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","rsl"
"8","_1836_125_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","cz_slk"
"9","_1836_125_Крыловский В._Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","fi_sl"
"10","_1837_148_Грен Н._Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","nlr_1"
"11","_1837_148_Грен Н._Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","fi_sl"
"12","_1838_169_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","nlr_1"
"13","_1838_169_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","rsl"
"14","_1838_169_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","cz_slk"
"15","_1838_169_Владиславлев В.А._Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","ee_ester"
"16","_1837_184_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","nlr_1"
"17","_1837_184_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","rsl"
"18","_1837_184_NA_Минерва, на 1837 год. Альманах, изд. К. Инвалидовым","fi_sl"
"19","_1838_194_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","nlr_1"
"20","_1838_194_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","rsl"
"21","_1838_194_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","us_harvard"
"22","_1838_194_Владиславлев_Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","cz_slk"
"23","_1838_210_Суханов М.Д._Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.","nlr_1"
"24","_1838_210_Суханов М.Д._Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.","fi_sl"
"25","_1838_249_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","nlr_1"
"26","_1838_249_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","rsl"
"27","_1838_249_NA_Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","us_harvard"
"28","_1839_270_NA_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","nlr_1"
"29","_1839_270_NA_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","rsl"
"30","_1839_270_NA_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","us_harvard"
"31","_1839_270_NA_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","cz_slk"
"32","_1839_270_NA_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","fi_sl"
"33","_1839_272_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","nlr_1"
"34","_1839_272_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","rsl"
"35","_1839_272_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","us_harvard"
"36","_1839_273_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 2","nlr_1"
"37","_1839_273_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 2","rsl"
"38","_1839_298_Бобылев Н.И._Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","rsl"
"39","_1839_298_Бобылев Н.И._Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","cz_slk"
"40","_1839_299_NA_Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения","nlr_1"
"41","_1839_299_NA_Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения","rsl"
