"","work","signature"
"1","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","nlr_1"
"2","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","rsl"
"3","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","roz_1"
"4","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","us_harvard"
"5","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","cz_slk"
"6","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_bn"
"7","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","pl_buw"
"8","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","ee_ester"
"9","1834_5_Батюшков К._Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","fi_sl"
"10","1834_7_Бороздна И._Лира / [Соч.] Ивана Бороздны","nlr_1"
"11","1834_7_Бороздна И._Лира / [Соч.] Ивана Бороздны","rsl"
"12","1834_7_Бороздна И._Лира / [Соч.] Ивана Бороздны","roz_1"
"13","1834_7_Бороздна И._Лира / [Соч.] Ивана Бороздны","fi_sl"
"14","1834_11_Коптев А._Стихотворения","nlr_1"
"15","1834_11_Коптев А._Стихотворения","rsl"
"16","1834_11_Коптев А._Стихотворения","roz_1"
"17","1834_14_Пушкин В. Л._Записки в стихах","nlr_1"
"18","1834_14_Пушкин В. Л._Записки в стихах","rsl"
"19","1834_14_Пушкин В. Л._Записки в стихах","roz_1"
"20","1834_14_Пушкин В. Л._Записки в стихах","us_harvard"
"21","1834_15_Слепушкин Ф._Новые досуги сельского жителя","nlr_1"
"22","1834_15_Слепушкин Ф._Новые досуги сельского жителя","rsl"
"23","1834_15_Слепушкин Ф._Новые досуги сельского жителя","roz_1"
"24","1834_15_Слепушкин Ф._Новые досуги сельского жителя","cz_slk"
"25","1834_16_Суходольский А._Стихотворения","nlr_1"
"26","1834_16_Суходольский А._Стихотворения","roz_1"
"27","1834_16_Суходольский А._Стихотворения","fi_sl"
"28","1834_18_Цыганов Н._Русские песни","nlr_1"
"29","1834_18_Цыганов Н._Русские песни","rsl"
"30","1834_18_Цыганов Н._Русские песни","roz_1"
"31","1834_20_NA_Гортензии: [Стихотворения]","nlr_1"
"32","1834_20_NA_Гортензии: [Стихотворения]","roz_1"
