"","work","signature"
"1","1835_67_А. Я-в_Кривой бес. Русская сказка [Стихотворения]","nlr_1"
"2","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","nlr_1"
"3","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","rsl"
"4","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","us_harvard"
"5","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","cz_slk"
"6","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","ee_ester"
"7","1835_79_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","fi_sl"
"8","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","nlr_1"
"9","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","rsl"
"10","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","roz_1"
"11","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","us_harvard"
"12","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","cz_slk"
"13","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","pl_buw"
"14","1835_80_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","ee_ester"
"15","1835_91_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","nlr_1"
"16","1835_91_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","rsl"
"17","1835_91_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","roz_1"
"18","1835_91_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","cz_slk"
"19","1835_91_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","ee_ester"
"20","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","nlr_1"
"21","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","rsl"
"22","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","roz_1"
"23","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","cz_slk"
"24","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","ee_ester"
"25","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","nlr_1"
"26","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","rsl"
"27","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","roz_1"
"28","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","cz_slk"
"29","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","ee_ester"
"30","1836_97_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","nlr_1"
"31","1836_97_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","rsl"
"32","1836_97_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","roz_1"
"33","1836_119_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","nlr_1"
"34","1836_119_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","rsl"
"35","1836_119_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","pl_buw"
"36","1836_119_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","fi_sl"
"37","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","nlr_1"
"38","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","rsl"
"39","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","roz_1"
"40","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","us_harvard"
"41","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","cz_slk"
"42","1836_155_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","fi_sl"
"43","1837_176_NA_Грибы : Рус. сказка в стихах","nlr_1"
"44","1837_176_NA_Грибы : Рус. сказка в стихах","rsl"
"45","1838_187_Павлов М._Повести в стихах","nlr_1"
"46","1838_187_Павлов М._Повести в стихах","rsl"
"47","1838_187_Павлов М._Повести в стихах","roz_1"
"48","1838_187_Павлов М._Повести в стихах","us_harvard"
"49","1838_187_Павлов М._Повести в стихах","cz_slk"
"50","1840_327_Алексеев П.Ф._Лирические стихотворения и сказки","nlr_1"
"51","1840_327_Алексеев П.Ф._Лирические стихотворения и сказки","ee_ester"
"52","1839_381_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","nlr_1"
"53","1839_381_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","rsl"
"54","1839_381_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","us_harvard"
"55","1839_381_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","ee_ester"
"56","1842_397_Шахова Е._Повести в стихах Елисаветы Шаховой","nlr_1"
