"","work","signature"
"1","1834_12_Н. К._Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","nlr_1"
"2","1834_12_Н. К._Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","rsl"
"3","1834_12_Н. К._Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","roz_1"
"4","1834_12_Н. К._Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","us_harvard"
"5","1834_12_Н. К._Джакобо Санназар : Драм. фантазия в 4 актах, в стихах : (Писана летом 1833 г.)","fi_sl"
"6","1834_17_Т-м-ф-в_Поэт: Фантазия в 3 сценах","nlr_1"
"7","1834_17_Т-м-ф-в_Поэт: Фантазия в 3 сценах","roz_1"
"8","1834_48_Т-м-ф-в_Счастливец : Пять суток из част. жизни : [Пьеса]","nlr_1"
"9","1834_48_Т-м-ф-в_Счастливец : Пять суток из част. жизни : [Пьеса]","rsl"
"10","1835_61_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","nlr_1"
"11","1835_61_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","rsl"
"12","1835_61_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","us_harvard"
"13","1835_61_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","fi_sl"
"14","1835_62_NA_Ижорский : Мистерия","nlr_1"
"15","1835_62_NA_Ижорский : Мистерия","rsl"
"16","1835_62_NA_Ижорский : Мистерия","us_harvard"
"17","1835_62_NA_Ижорский : Мистерия","cz_slk"
"18","1835_62_NA_Ижорский : Мистерия","ee_ester"
"19","1836_105_Н. К._Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","nlr_1"
"20","1836_105_Н. К._Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","rsl"
"21","1836_105_Н. К._Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","cz_slk"
"22","1836_105_Н. К._Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","lt_vul"
"23","1836_105_Н. К._Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","fi_sl"
"24","1836_106_Н. К._Джулио Мости : Драм. фантазия в 4 ч. с интермедией в стихах : (Писана в 1832 и 1833 г.)","nlr_1"
"25","1836_106_Н. К._Джулио Мости : Драм. фантазия в 4 ч. с интермедией в стихах : (Писана в 1832 и 1833 г.)","rsl"
"26","1836_106_Н. К._Джулио Мости : Драм. фантазия в 4 ч. с интермедией в стихах : (Писана в 1832 и 1833 г.)","us_harvard"
"27","1836_106_Н. К._Джулио Мости : Драм. фантазия в 4 ч. с интермедией в стихах : (Писана в 1832 и 1833 г.)","fi_sl"
"28","1837_108_Н. К._Двадцать восьмое января 1725 года : Драматическая картина в двух явлениях, в стихах : Сочинение Н.К. (писана в ноябре 1836 года.)","nlr_1"
"29","1837_108_Н. К._Двадцать восьмое января 1725 года : Драматическая картина в двух явлениях, в стихах : Сочинение Н.К. (писана в ноябре 1836 года.)","rsl"
"30","1837_108_Н. К._Двадцать восьмое января 1725 года : Драматическая картина в двух явлениях, в стихах : Сочинение Н.К. (писана в ноябре 1836 года.)","us_harvard"
"31","1837_108_Н. К._Двадцать восьмое января 1725 года : Драматическая картина в двух явлениях, в стихах : Сочинение Н.К. (писана в ноябре 1836 года.)","cz_slk"
