"","work","signature"
"1","1834_32_Никонов В._Песнь русского : В 17 день апреля 1834 года","nlr_1"
"2","1834_33_Виноградов Н._Куплеты, петые на Чернышенской суконной фабрике июня 1834 года, для Общества лихвинских дворян по случаю праздника, данного г-м Михайловым","nlr_1"
"3","1834_34_NA_Стихи для польского, [на случай прибытия его сиятельства графа Михаила Семеновича Воронцова в Екатеринослав]","nlr_1"
"4","1834_36_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","nlr_1"
"5","1834_36_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","rsl"
"6","1834_36_Бакунин В._Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","cz_slk"
"7","1834_37_Козлов И._Его Императорскому Высочеству Наследнику Цесаревичу и Великому Князю Александру Николаевичу, в день Его тезоименинства: Стихотворение [Соч. Козлова]","nlr_1"
"8","1834_38_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","nlr_1"
"9","1834_38_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","rsl"
"10","1834_38_Хвостов Д. И._22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","pl_buw"
"11","1834_39_NA_Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","nlr_1"
"12","1834_39_NA_Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","rsl"
"13","1834_40_NA_Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","nlr_1"
"14","1834_40_NA_Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","rsl"
"15","1834_41_Изрядный_Каламбур: Стихотворение Изрядного","nlr_1"
"16","1834_41_Изрядный_Каламбур: Стихотворение Изрядного","rsl"
"17","1834_43_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г","nlr_1"
"18","1834_43_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г","rsl"
"19","1834_43_Хвостов Д. И._Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г","ee_ester"
"20","1834_46_Стромилов С._Его императорскому высочеству, государю наследнику цесаревичу и великому князю Александру Николаевичу : Стихотворение С. Стромилова.","nlr_1"
"21","1834_47_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","nlr_1"
"22","1834_47_Хвостов Д. И._30 августа 1834 года : Стихотворение гр. Хвостова","rsl"
"23","1834_51_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","nlr_1"
"24","1834_51_NA_Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","rsl"
"25","1834_53_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","nlr_1"
"26","1834_53_Зегельбах Федор_Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","rsl"
"27","1835_87_NA_Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа","nlr_1"
"28","1836_127_NA_Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","nlr_1"
"29","1836_127_NA_Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","roz_1"
"30","1836_133_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","nlr_1"
"31","1836_133_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","rsl"
"32","1836_133_NA_Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","fi_sl"
"33","1837_146_Глинка Ф.Н._Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","nlr_1"
"34","1837_146_Глинка Ф.Н._Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","rsl"
