"","work","signature"
"1","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","nlr_1"
"2","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","rsl"
"3","1834_1_Артемьев П._Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","roz_1"
"4","1834_6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","nlr_1"
"5","1834_6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","roz_1"
"6","1834_6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","us_harvard"
"7","1834_6_Александр Б._Милана : Русская баллада, или Старые погудки на новый лад","cz_slk"
"8","1834_8_П. Ершов_Конек-горбунок. Русская сказка","nlr_1"
"9","1834_8_П. Ершов_Конек-горбунок. Русская сказка","rsl"
"10","1834_8_П. Ершов_Конек-горбунок. Русская сказка","roz_1"
"11","1834_8_П. Ершов_Конек-горбунок. Русская сказка","us_harvard"
"12","1834_8_П. Ершов_Конек-горбунок. Русская сказка","ee_ester"
"13","1834_9_Карцов Н._Семейство Комариных : Роман в стихах","nlr_1"
"14","1834_9_Карцов Н._Семейство Комариных : Роман в стихах","rsl"
"15","1834_9_Карцов Н._Семейство Комариных : Роман в стихах","roz_1"
"16","1834_9_Карцов Н._Семейство Комариных : Роман в стихах","cz_slk"
"17","1834_10_Катенин П._Княжна Милуша : Сказка [в стихах]","nlr_1"
"18","1834_10_Катенин П._Княжна Милуша : Сказка [в стихах]","rsl"
"19","1834_10_Катенин П._Княжна Милуша : Сказка [в стихах]","roz_1"
"20","1834_10_Катенин П._Княжна Милуша : Сказка [в стихах]","fi_sl"
"21","1834_13_Марков П.; Соколовский В._Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","nlr_1"
"22","1834_19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","nlr_1"
"23","1834_19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","rsl"
"24","1834_19_А… Ч…_Дворянские выборы, характеристическая картина : В 4 гл.","roz_1"
"25","1834_21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","nlr_1"
"26","1834_21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","rsl"
"27","1834_21_Касьян Русский_Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","roz_1"
"28","1834_23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","nlr_1"
"29","1834_23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","rsl"
"30","1834_23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","roz_1"
"31","1834_23_И. Р._Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","pl_bn"
"32","1834_25_NA_Сирота: Повесть [в стихах]","nlr_1"
"33","1834_25_NA_Сирота: Повесть [в стихах]","cz_slk"
"34","1834_28_П. Л._Любовь поэта: Повесть П. Л.","nlr_1"
"35","1834_29_П. К._Три года жизни. [Ч. 1] : Роман в стихах","nlr_1"
"36","1834_29_П. К._Три года жизни. [Ч. 1] : Роман в стихах","rsl"
"37","1835_54_NA_Царь-девица : [Сказка в стихах]","nlr_1"
"38","1835_54_NA_Царь-девица : [Сказка в стихах]","rsl"
"39","1835_54_NA_Царь-девица : [Сказка в стихах]","roz_1"
"40","1835_55_П. С._Поселенцы : Повесть в стихах","nlr_1"
"41","1835_55_П. С._Поселенцы : Повесть в стихах","rsl"
"42","1835_55_П. С._Поселенцы : Повесть в стихах","cz_slk"
"43","1835_56_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","nlr_1"
"44","1835_56_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","rsl"
"45","1835_57_П. К._Мария: Фантастическая повесть в стихах П.К.","nlr_1"
"46","1835_57_П. К._Мария: Фантастическая повесть в стихах П.К.","lt_vul"
"47","1835_58_Неведомский Н._Бурка: Поэма","nlr_1"
"48","1835_58_Неведомский Н._Бурка: Поэма","rsl"
"49","1835_58_Неведомский Н._Бурка: Поэма","us_harvard"
"50","1835_59_Кистерзунк А._Померанская быль : [Стихотворение]","nlr_1"
"51","1835_60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","nlr_1"
"52","1835_60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","cz_slk"
"53","1835_60_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","fi_sl"
"54","1835_63_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","nlr_1"
"55","1835_63_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","rsl"
"56","1836_65_Алябьев В._Странник: В 2 ч.","nlr_1"
"57","1836_65_Алябьев В._Странник: В 2 ч.","rsl"
"58","1836_65_Алябьев В._Странник: В 2 ч.","roz_1"
