"","work","signature"
"1","526_Аскоченский В._Стихотворения В. Аскоченского","nlr_1"
"2","526_Аскоченский В._Стихотворения В. Аскоченского","rsl"
"3","526_Аскоченский В._Стихотворения В. Аскоченского","roz_1"
"4","526_Аскоченский В._Стихотворения В. Аскоченского","fi_sl"
"5","527_Григорьев А._Стихотворения Аполлона Григорьева","nlr_1"
"6","527_Григорьев А._Стихотворения Аполлона Григорьева","rsl"
"7","527_Григорьев А._Стихотворения Аполлона Григорьева","roz_1"
"8","527_Григорьев А._Стихотворения Аполлона Григорьева","fi_sl"
"9","529_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","nlr_1"
"10","529_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","rsl"
"11","529_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","roz_1"
"12","529_Плещеев А._Стихотворения А. Плещеева. 1845-1846.","fi_sl"
"13","530_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","nlr_1"
"14","530_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","rsl"
"15","530_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","roz_1"
"16","530_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","us_harvard"
"17","530_Полонский Я.П._Стихотворения 1845 года / [Соч.] Я.П. Полонского","fi_sl"
"18","532_NA_Сибирские мелодии","nlr_1"
"19","532_NA_Сибирские мелодии","rsl"
"20","532_NA_Сибирские мелодии","roz_1"
"21","532_NA_Сибирские мелодии","fi_sl"
"22","533_Н._Сочинения Н.: [Стихи]","nlr_1"
"23","533_Н._Сочинения Н.: [Стихи]","rsl"
"24","533_Н._Сочинения Н.: [Стихи]","roz_1"
"25","535_Аксеновский Д._Стихотворения Д. Аксеновского, придворного мастера водоочистительных машин","nlr_1"
"26","535_Аксеновский Д._Стихотворения Д. Аксеновского, придворного мастера водоочистительных машин","rsl"
"27","537_NA_Подарок прекрасному полу :[Вып. 1]","nlr_1"
"28","537_NA_Подарок прекрасному полу :[Вып. 1]","rsl"
"29","537_NA_Подарок прекрасному полу :[Вып. 1]","fi_sl"
"30","538_Савинский А._Стихотворения Анастасия Савинского : [Вып. 2]","nlr_1"
"31","538_Савинский А._Стихотворения Анастасия Савинского : [Вып. 2]","rsl"
"32","543_Бедарева А._Стихотворения Александры Бедаревой","nlr_1"
"33","543_Бедарева А._Стихотворения Александры Бедаревой","rsl"
"34","544_Ахлопков С._Фиолетовые книжки : Разные ст. в прозе и стихах","nlr_1"
"35","544_Ахлопков С._Фиолетовые книжки : Разные ст. в прозе и стихах","rsl"
"36","555_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","nlr_1"
"37","555_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","rsl"
"38","555_Бороздна И._Лучи и тени : Новые стихотворения И. Бороздны, изд. им в пользу Чернигов. дет. приюта","roz_1"
"39","556_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","nlr_1"
"40","556_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","rsl"
"41","556_Голицын М._Проблески : Стихотворения кн. Михаила Голицына","roz_1"
"42","558_Голишев Н._Духовные стихотворения Николая Голишева","nlr_1"
"43","560_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","nlr_1"
"44","560_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","rsl"
"45","560_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","roz_1"
"46","560_Майков А._Очерки Рима : [Стихи] / [Соч.] Аполлона Майкова","cz_slk"
