"","work","signature"
"1","302_Дьячков С._Деньги : Комич. поэма / Соч. Семена Дьячкова. / 2-е изд.","nlr_1"
"2","302_Дьячков С._Деньги : Комич. поэма / Соч. Семена Дьячкова. / 2-е изд.","rsl"
"3","307_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr_1"
"4","307_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"5","308_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr_1"
"6","310_Анордист Н._Сказка о прекрасной царевне","nlr_1"
"7","311_Дьячков С._Сказка о найденном алмазе","nlr_1"
"8","317_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr_1"
"9","317_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","roz_1"
"10","323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr_1"
"11","323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"12","323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","roz_1"
"13","323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"14","336_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr_1"
"15","336_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"16","337_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах]","nlr_1"
"17","338_NA_Донской козак : Воспоминание об отечеств. войне : [В стихах] / 2-е изд.","nlr_1"
"18","340_Оранский Н.Д._Песнь русского барда","nlr_1"
"19","340_Оранский Н.Д._Песнь русского барда","rsl"
"20","340_Оранский Н.Д._Песнь русского барда","roz_1"
"21","341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","nlr_1"
"22","341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","rsl"
"23","341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","cz_slk"
"24","359_NA_Поэма о Сотворении мира","nlr_1"
"25","359_NA_Поэма о Сотворении мира","rsl"
"26","363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","roz_1"
"27","363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","cz_slk"
"28","363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","fi_sl"
"29","365_Алексеев П._Мель-дона : Повесть в стихах","nlr_1"
"30","365_Алексеев П._Мель-дона : Повесть в стихах","pl_bn"
"31","365_Алексеев П._Мель-дона : Повесть в стихах","pl_buw"
"32","366_Я. А._Русская повесть в стихах, взятая из преданий 16 столетия","nlr_1"
"33","367_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","nlr_1"
"34","367_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","rsl"
"35","375_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","nlr_1"
"36","375_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","rsl"
"37","376_Голодников К._Ковер самолет : Рус. сказка : В 3 ч.","nlr_1"
"38","389_NA_Виолетта или Феины сказки : [В стихах]","nlr_1"
"39","389_NA_Виолетта или Феины сказки : [В стихах]","rsl"
"40","398_Горев М._Багир хан : Татар. предание [в стихах]","nlr_1"
"41","398_Горев М._Багир хан : Татар. предание [в стихах]","lt_vul"
"42","399_Зотов В._Последний хеак : Поэма","nlr_1"
"43","399_Зотов В._Последний хеак : Поэма","fi_sl"
"44","408_И.Ф. До…ча…ва_Ролланд и Шарлота : Роман в стихах","nlr_1"
"45","413_Алипанов Е._Духовная повесть / 2-е изд.","nlr_1"
"46","419_Алипанов Е._Сказка о мельнике колдуне, о двух жидках и о двух батраках / 3-е изд.","nlr_1"
"47","421_NA_Мечта : Рассказ в стихах.","nlr_1"
"48","432_Дьячков С._Кошка-вор : Забавная быль в стихах / Соч. Семена Дьячкова.","nlr_1"
"49","433_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","nlr_1"
"50","433_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","rsl"
"51","446_NA_Волшебный замок или Сказка о знаменитом рыцаре Родриге и о волшебнике Роасе, продавшем душу свою демону.","nlr_1"
"52","447_Т. Л._Параша : Рассказ в стихах : Писано в нач. 1843 г.","nlr_1"
"53","447_Т. Л._Параша : Рассказ в стихах : Писано в нач. 1843 г.","rsl"
"54","450_NA_Исповедь : [Отрывки из поэмы].","nlr_1"
