"","id","group","author_sign","author_full_name","title","city","publisher","year","pages","size_cm","nlr","rsl","rozanov","us_harvard","cz_slk","lt_vul","pl_bn","pl_buw","ee_ester","fi_sl","spbgu","n_total"
"1",1,"sep_nar","Артемьев П.","Артемьев Павел Алексеевич","Страдалец: Повесть в стихах, взятая с истинного рассказа родственников страдальца","М.","Селивановского",1834,30,20,1,1,1,0,0,0,0,0,0,0,0,3
"2",2,"col_lyr","Батюшков К.","Батюшков Константин Николаевич","Сочинения в прозе и стихах Константина Батюшкова. Ч. 2. Стихотворения","СПб.","И. Глазунова",1834,270,22,1,1,1,1,1,0,1,1,1,1,0,9
"3",3,"sep_nar","Александр Б.","Боде Александр Карлович","Милана : Русская баллада, или Старые погудки на новый лад","СПб.","Крайя",1834,22,24,1,0,1,1,1,0,0,0,0,0,0,4
"4",4,"col_lyr","Бороздна И.","Бороздна Иван Петрович","Лира / [Соч.] Ивана Бороздны","М.","Семена",1834,79,22,1,1,1,0,0,0,0,0,0,1,0,4
"5",5,"sep_nar","П. Ершов","Ершов Петр Павлович","Конек-горбунок. Русская сказка","СПб.","Гинце",1834,122,19,1,1,1,1,0,0,0,0,1,0,0,5
"6",6,"sep_nar","Карцов Н.","Карцов Н.","Семейство Комариных : Роман в стихах","М.","Семена",1834,35,24,1,1,1,0,1,0,0,0,0,0,0,4
"7",7,"sep_nar","Катенин П.","Катенин Павел Александрович","Княжна Милуша : Сказка [в стихах]","СПб.","Гинце",1834,159,23,1,1,1,0,0,0,0,0,0,1,0,4
"8",8,"col_lyr","Коптев А.","Коптев Алексей Алексеевич","Стихотворения","СПб.","Вингебера",1834,128,18,1,1,1,0,0,0,0,0,0,0,0,3
"9",9,"sep_nar","Марков П.; Соколовский В.","Марков П.; Соколовский Владимир Игнатьевич","Зломилла и Добронрава девы гор, или Встреча с казаком : Кавказская повесть в 2 ч. : Первый опыт в поэзии П. Маркова","М.","Лазаревых",1834,67,17,1,0,0,0,0,0,0,0,0,0,0,1
"10",10,"col_lyr","Пушкин В. Л.","Пушкин Василий Львович","Записки в стихах","М.","Ун. тип",1834,71,18,1,1,1,1,0,0,0,0,0,0,0,4
"11",11,"col_lyr","Слепушкин Ф.","Слепушкин Федор Никифорович","Новые досуги сельского жителя","СПб.","Гинце",1834,112,20,1,1,1,0,1,0,0,0,0,0,1,5
"12",12,"col_lyr","Суходольский А.","Суходольский А.","Стихотворения","М.","Селивановского",1834,88,22,1,0,1,0,0,0,0,0,0,1,0,3
"13",13,"sep_nar","Т-м-ф-в","Тимофеев Алексей Васильевич","Поэт: Фантазия в 3 сценах","СПб.","Гинце",1834,64,21,1,0,1,0,0,0,0,0,0,0,0,2
"14",14,"col_lyr","Цыганов Н.","Цыганов Николай Григорьевич","Русские песни","М.","Селивановского",1834,68,18,1,1,1,0,0,0,0,0,0,0,0,3
"15",15,"sep_nar","А… Ч…","Чуровский Александр Иванович","Дворянские выборы, характеристическая картина : В 4 гл.","М.","Пономарева",1834,28,20,1,1,1,0,0,0,0,0,0,0,0,3
"16",16,"col_lyr",NA,NA,"Гортензии: [Стихотворения]","М.","Селивановского",1834,48,20,1,0,1,0,0,0,0,0,0,0,0,2
"17",17,"sep_nar","Касьян Русский","Касьян Русский","Две гробовые жертвы : Рассказ Касьяна Русского [в стихах]","М.","Пономарева",1834,44,19,1,1,1,0,0,0,0,0,0,0,0,3
"18",18,"col_lyr",NA,NA,"Дитя поэзии : [Стихотворения]","Казань","Ун. тип",1834,14,21,1,1,1,1,1,0,0,0,0,1,0,6
"19",19,"sep_nar","И. Р.","Радожицкий Илья Тимофеевич","Лис-хитродум : Поэма в 12-ти песнях : Подражание Гете: Reinecke Fuchs","М.","Ун. тип",1834,254,23,1,1,1,0,0,0,1,0,0,0,0,4
"20",20,"col_lyr","Линдфорс Н.","Линдфорс Николай Федорович","Стихотворения","СПб.","Штаба отд. корп. внутр. стражи",1834,144,15,1,1,0,1,0,0,0,0,0,0,0,3
"21",21,"sep_nar",NA,NA,"Сирота: Повесть [в стихах]","М.","Степанова",1834,40,13,1,0,0,0,1,0,0,0,0,0,0,2
"22",22,"col_lyr","Фукс А.","Фукс Александра Андреевна","Стихотворения","Казань","Ун. тип",1834,192,21,0,0,0,0,1,0,0,0,0,0,0,1
"23",23,"col_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","[Полное собрание стихотворений] графа Хвостова : том 1-7. Т. 7 : Стихотворения.","СПб.","Акад. наук",1834,278,20,1,0,1,0,0,0,0,1,0,1,0,4
"24",24,"sep_nar","П. Л.","П. Л.","Любовь поэта: Повесть П. Л.","М.","Пономарева",1834,23,19,1,0,0,0,0,0,0,0,0,0,0,1
"25",25,"sep_nar","П. К.","Кукольник Павел Васильевич","Три года жизни. [Ч. 1] : Роман в стихах","Вильно","Гликсберга",1834,48,20,1,1,0,0,0,0,0,0,0,0,0,2
"26",27,"sep_lyr","Никонов В.","Никонов Валериан Яковлевич","Песнь русского : В 17 день апреля 1834 года","СПб.","Крайя",1834,8,NA,1,0,0,0,0,0,0,0,0,0,0,1
"27",28,"sep_lyr","Виноградов Н.","Виноградов Никанор","Куплеты, петые на Чернышенской суконной фабрике июня 1834 года, для Общества лихвинских дворян по случаю праздника, данного г-м Михайловым","М.","Ун. тип",1834,4,21,1,0,0,0,0,0,0,0,0,0,0,1
"28",29,"sep_lyr",NA,NA,"Стихи для польского, [на случай прибытия его сиятельства графа Михаила Семеновича Воронцова в Екатеринослав]","М.","Ун. тип",1834,4,NA,1,0,0,0,0,0,0,0,0,0,0,1
